Chr	Median.cov.chr	Norm.global.coverage	Sample
1	159	0.969512195121951	A_Irapuato_USMA_PopGen_JYD
2	156	0.951219512195122	A_Irapuato_USMA_PopGen_JYD
3	170	1.03658536585366	A_Irapuato_USMA_PopGen_JYD
4	158	0.963414634146341	A_Irapuato_USMA_PopGen_JYD
5	197	1.20121951219512	A_Irapuato_USMA_PopGen_JYD
6	159	0.969512195121951	A_Irapuato_USMA_PopGen_JYD
7	155	0.945121951219512	A_Irapuato_USMA_PopGen_JYD
8	155	0.945121951219512	A_Irapuato_USMA_PopGen_JYD
9	157	0.957317073170732	A_Irapuato_USMA_PopGen_JYD
10	228	1.39024390243902	A_Irapuato_USMA_PopGen_JYD
11	154	0.939024390243902	A_Irapuato_USMA_PopGen_JYD
12	155	0.945121951219512	A_Irapuato_USMA_PopGen_JYD
13	154	0.939024390243902	A_Irapuato_USMA_PopGen_JYD
14	154	0.939024390243902	A_Irapuato_USMA_PopGen_JYD
15	228	1.39024390243902	A_Irapuato_USMA_PopGen_JYD
16	304	1.85365853658537	A_Irapuato_USMA_PopGen_JYD
17	156	0.951219512195122	A_Irapuato_USMA_PopGen_JYD
18	154	0.939024390243902	A_Irapuato_USMA_PopGen_JYD
19	158	0.963414634146341	A_Irapuato_USMA_PopGen_JYD
20	202	1.23170731707317	A_Irapuato_USMA_PopGen_JYD
21	155	0.945121951219512	A_Irapuato_USMA_PopGen_JYD
22	154	0.939024390243902	A_Irapuato_USMA_PopGen_JYD
23	154	0.939024390243902	A_Irapuato_USMA_PopGen_JYD
24	7036	42.9024390243902	A_Irapuato_USMA_PopGen_JYD
25	159	0.969512195121951	A_Irapuato_USMA_PopGen_JYD
26	158	0.963414634146341	A_Irapuato_USMA_PopGen_JYD
27	169	1.03048780487805	A_Irapuato_USMA_PopGen_JYD
28	1	0.00609756097560976	A_Irapuato_USMA_PopGen_JYD
