Chr	Median.cov.chr	Norm.global.coverage	Sample
1	295	1	B_Irapuato_USMA_PopGen_JYD
2	295	1	B_Irapuato_USMA_PopGen_JYD
3	296	1.00338983050847	B_Irapuato_USMA_PopGen_JYD
4	293	0.993220338983051	B_Irapuato_USMA_PopGen_JYD
5	294	0.996610169491525	B_Irapuato_USMA_PopGen_JYD
6	294	0.996610169491525	B_Irapuato_USMA_PopGen_JYD
7	294	0.996610169491525	B_Irapuato_USMA_PopGen_JYD
8	292	0.989830508474576	B_Irapuato_USMA_PopGen_JYD
9	297	1.00677966101695	B_Irapuato_USMA_PopGen_JYD
10	296	1.00338983050847	B_Irapuato_USMA_PopGen_JYD
11	294	0.996610169491525	B_Irapuato_USMA_PopGen_JYD
12	293	0.993220338983051	B_Irapuato_USMA_PopGen_JYD
13	291	0.986440677966102	B_Irapuato_USMA_PopGen_JYD
14	294	0.996610169491525	B_Irapuato_USMA_PopGen_JYD
15	293	0.993220338983051	B_Irapuato_USMA_PopGen_JYD
16	298	1.01016949152542	B_Irapuato_USMA_PopGen_JYD
17	293	0.993220338983051	B_Irapuato_USMA_PopGen_JYD
18	294	0.996610169491525	B_Irapuato_USMA_PopGen_JYD
19	296	1.00338983050847	B_Irapuato_USMA_PopGen_JYD
20	300	1.01694915254237	B_Irapuato_USMA_PopGen_JYD
21	295	1	B_Irapuato_USMA_PopGen_JYD
22	292	0.989830508474576	B_Irapuato_USMA_PopGen_JYD
23	294	0.996610169491525	B_Irapuato_USMA_PopGen_JYD
24	7660	25.9661016949153	B_Irapuato_USMA_PopGen_JYD
25	306	1.03728813559322	B_Irapuato_USMA_PopGen_JYD
26	314	1.06440677966102	B_Irapuato_USMA_PopGen_JYD
27	337	1.14237288135593	B_Irapuato_USMA_PopGen_JYD
28	2	0.00677966101694915	B_Irapuato_USMA_PopGen_JYD
