Chr	Median.cov.chr	Norm.global.coverage	Sample
1	149	1.01360544217687	G_Oaxaca_USMA_PopGen_JYD
2	149	1.01360544217687	G_Oaxaca_USMA_PopGen_JYD
3	149	1.01360544217687	G_Oaxaca_USMA_PopGen_JYD
4	146	0.993197278911565	G_Oaxaca_USMA_PopGen_JYD
5	148	1.00680272108844	G_Oaxaca_USMA_PopGen_JYD
6	147	1	G_Oaxaca_USMA_PopGen_JYD
7	146	0.993197278911565	G_Oaxaca_USMA_PopGen_JYD
8	145	0.986394557823129	G_Oaxaca_USMA_PopGen_JYD
9	149	1.01360544217687	G_Oaxaca_USMA_PopGen_JYD
10	147	1	G_Oaxaca_USMA_PopGen_JYD
11	147	1	G_Oaxaca_USMA_PopGen_JYD
12	146	0.993197278911565	G_Oaxaca_USMA_PopGen_JYD
13	143	0.972789115646258	G_Oaxaca_USMA_PopGen_JYD
14	144	0.979591836734694	G_Oaxaca_USMA_PopGen_JYD
15	143	0.972789115646258	G_Oaxaca_USMA_PopGen_JYD
16	144	0.979591836734694	G_Oaxaca_USMA_PopGen_JYD
17	146	0.993197278911565	G_Oaxaca_USMA_PopGen_JYD
18	145	0.986394557823129	G_Oaxaca_USMA_PopGen_JYD
19	147	1	G_Oaxaca_USMA_PopGen_JYD
20	149	1.01360544217687	G_Oaxaca_USMA_PopGen_JYD
21	146	0.993197278911565	G_Oaxaca_USMA_PopGen_JYD
22	145	0.986394557823129	G_Oaxaca_USMA_PopGen_JYD
23	148	1.00680272108844	G_Oaxaca_USMA_PopGen_JYD
24	5016	34.1224489795918	G_Oaxaca_USMA_PopGen_JYD
25	155	1.05442176870748	G_Oaxaca_USMA_PopGen_JYD
26	159	1.08163265306122	G_Oaxaca_USMA_PopGen_JYD
27	160	1.08843537414966	G_Oaxaca_USMA_PopGen_JYD
28	2	0.0136054421768707	G_Oaxaca_USMA_PopGen_JYD
