Chr	Median.cov.chr	Norm.global.coverage	Sample
1	204	1.00492610837438	K_Pachuca_USMA_PopGen_JYD
2	205	1.00985221674877	K_Pachuca_USMA_PopGen_JYD
3	205	1.00985221674877	K_Pachuca_USMA_PopGen_JYD
4	203	1	K_Pachuca_USMA_PopGen_JYD
5	203	1	K_Pachuca_USMA_PopGen_JYD
6	203	1	K_Pachuca_USMA_PopGen_JYD
7	202	0.995073891625616	K_Pachuca_USMA_PopGen_JYD
8	202	0.995073891625616	K_Pachuca_USMA_PopGen_JYD
9	204	1.00492610837438	K_Pachuca_USMA_PopGen_JYD
10	204	1.00492610837438	K_Pachuca_USMA_PopGen_JYD
11	202	0.995073891625616	K_Pachuca_USMA_PopGen_JYD
12	203	1	K_Pachuca_USMA_PopGen_JYD
13	201	0.990147783251232	K_Pachuca_USMA_PopGen_JYD
14	203	1	K_Pachuca_USMA_PopGen_JYD
15	201	0.990147783251232	K_Pachuca_USMA_PopGen_JYD
16	208	1.02463054187192	K_Pachuca_USMA_PopGen_JYD
17	202	0.995073891625616	K_Pachuca_USMA_PopGen_JYD
18	202	0.995073891625616	K_Pachuca_USMA_PopGen_JYD
19	202	0.995073891625616	K_Pachuca_USMA_PopGen_JYD
20	205	1.00985221674877	K_Pachuca_USMA_PopGen_JYD
21	202	0.995073891625616	K_Pachuca_USMA_PopGen_JYD
22	200	0.985221674876847	K_Pachuca_USMA_PopGen_JYD
23	201	0.990147783251232	K_Pachuca_USMA_PopGen_JYD
24	6072	29.9113300492611	K_Pachuca_USMA_PopGen_JYD
25	212	1.04433497536946	K_Pachuca_USMA_PopGen_JYD
26	193	0.950738916256158	K_Pachuca_USMA_PopGen_JYD
27	200	0.985221674876847	K_Pachuca_USMA_PopGen_JYD
28	2	0.00985221674876847	K_Pachuca_USMA_PopGen_JYD
