Chr	Median.cov.chr	Norm.global.coverage	Sample
1	173	1	M_Pachuca_USMA_PopGen_JYD
2	174	1.00578034682081	M_Pachuca_USMA_PopGen_JYD
3	174	1.00578034682081	M_Pachuca_USMA_PopGen_JYD
4	171	0.988439306358382	M_Pachuca_USMA_PopGen_JYD
5	173	1	M_Pachuca_USMA_PopGen_JYD
6	172	0.994219653179191	M_Pachuca_USMA_PopGen_JYD
7	171	0.988439306358382	M_Pachuca_USMA_PopGen_JYD
8	172	0.994219653179191	M_Pachuca_USMA_PopGen_JYD
9	173	1	M_Pachuca_USMA_PopGen_JYD
10	173	1	M_Pachuca_USMA_PopGen_JYD
11	172	0.994219653179191	M_Pachuca_USMA_PopGen_JYD
12	172	0.994219653179191	M_Pachuca_USMA_PopGen_JYD
13	170	0.982658959537572	M_Pachuca_USMA_PopGen_JYD
14	172	0.994219653179191	M_Pachuca_USMA_PopGen_JYD
15	171	0.988439306358382	M_Pachuca_USMA_PopGen_JYD
16	172	0.994219653179191	M_Pachuca_USMA_PopGen_JYD
17	173	1	M_Pachuca_USMA_PopGen_JYD
18	171	0.988439306358382	M_Pachuca_USMA_PopGen_JYD
19	171	0.988439306358382	M_Pachuca_USMA_PopGen_JYD
20	173	1	M_Pachuca_USMA_PopGen_JYD
21	172	0.994219653179191	M_Pachuca_USMA_PopGen_JYD
22	170	0.982658959537572	M_Pachuca_USMA_PopGen_JYD
23	171	0.988439306358382	M_Pachuca_USMA_PopGen_JYD
24	5365	31.0115606936416	M_Pachuca_USMA_PopGen_JYD
25	176	1.01734104046243	M_Pachuca_USMA_PopGen_JYD
26	162	0.936416184971098	M_Pachuca_USMA_PopGen_JYD
27	173	1	M_Pachuca_USMA_PopGen_JYD
28	3	0.0173410404624277	M_Pachuca_USMA_PopGen_JYD
