Chr	Median.cov.chr	Norm.global.coverage	Sample
1	217	1.00462962962963	N_Pachuca_USMA_PopGen_JYD
2	216	1	N_Pachuca_USMA_PopGen_JYD
3	217	1.00462962962963	N_Pachuca_USMA_PopGen_JYD
4	213	0.986111111111111	N_Pachuca_USMA_PopGen_JYD
5	215	0.99537037037037	N_Pachuca_USMA_PopGen_JYD
6	215	0.99537037037037	N_Pachuca_USMA_PopGen_JYD
7	214	0.990740740740741	N_Pachuca_USMA_PopGen_JYD
8	214	0.990740740740741	N_Pachuca_USMA_PopGen_JYD
9	216	1	N_Pachuca_USMA_PopGen_JYD
10	215	0.99537037037037	N_Pachuca_USMA_PopGen_JYD
11	214	0.990740740740741	N_Pachuca_USMA_PopGen_JYD
12	215	0.99537037037037	N_Pachuca_USMA_PopGen_JYD
13	212	0.981481481481482	N_Pachuca_USMA_PopGen_JYD
14	215	0.99537037037037	N_Pachuca_USMA_PopGen_JYD
15	213	0.986111111111111	N_Pachuca_USMA_PopGen_JYD
16	423	1.95833333333333	N_Pachuca_USMA_PopGen_JYD
17	215	0.99537037037037	N_Pachuca_USMA_PopGen_JYD
18	215	0.99537037037037	N_Pachuca_USMA_PopGen_JYD
19	215	0.99537037037037	N_Pachuca_USMA_PopGen_JYD
20	218	1.00925925925926	N_Pachuca_USMA_PopGen_JYD
21	215	0.99537037037037	N_Pachuca_USMA_PopGen_JYD
22	211	0.976851851851852	N_Pachuca_USMA_PopGen_JYD
23	213	0.986111111111111	N_Pachuca_USMA_PopGen_JYD
24	6706	31.0462962962963	N_Pachuca_USMA_PopGen_JYD
25	225	1.04166666666667	N_Pachuca_USMA_PopGen_JYD
26	205	0.949074074074074	N_Pachuca_USMA_PopGen_JYD
27	223	1.03240740740741	N_Pachuca_USMA_PopGen_JYD
28	8	0.037037037037037	N_Pachuca_USMA_PopGen_JYD
