Chr	Median.cov.chr	Norm.global.coverage	Sample
1	222	1.00452488687783	O_Pachuca_USMA_PopGen_JYD
2	223	1.00904977375566	O_Pachuca_USMA_PopGen_JYD
3	223	1.00904977375566	O_Pachuca_USMA_PopGen_JYD
4	221	1	O_Pachuca_USMA_PopGen_JYD
5	221	1	O_Pachuca_USMA_PopGen_JYD
6	221	1	O_Pachuca_USMA_PopGen_JYD
7	220	0.995475113122172	O_Pachuca_USMA_PopGen_JYD
8	220	0.995475113122172	O_Pachuca_USMA_PopGen_JYD
9	222	1.00452488687783	O_Pachuca_USMA_PopGen_JYD
10	222	1.00452488687783	O_Pachuca_USMA_PopGen_JYD
11	221	1	O_Pachuca_USMA_PopGen_JYD
12	221	1	O_Pachuca_USMA_PopGen_JYD
13	218	0.986425339366516	O_Pachuca_USMA_PopGen_JYD
14	221	1	O_Pachuca_USMA_PopGen_JYD
15	220	0.995475113122172	O_Pachuca_USMA_PopGen_JYD
16	220	0.995475113122172	O_Pachuca_USMA_PopGen_JYD
17	221	1	O_Pachuca_USMA_PopGen_JYD
18	220	0.995475113122172	O_Pachuca_USMA_PopGen_JYD
19	221	1	O_Pachuca_USMA_PopGen_JYD
20	224	1.01357466063348	O_Pachuca_USMA_PopGen_JYD
21	221	1	O_Pachuca_USMA_PopGen_JYD
22	218	0.986425339366516	O_Pachuca_USMA_PopGen_JYD
23	217	0.981900452488688	O_Pachuca_USMA_PopGen_JYD
24	5240	23.710407239819	O_Pachuca_USMA_PopGen_JYD
25	228	1.0316742081448	O_Pachuca_USMA_PopGen_JYD
26	214	0.968325791855204	O_Pachuca_USMA_PopGen_JYD
27	212	0.959276018099548	O_Pachuca_USMA_PopGen_JYD
28	0	0	O_Pachuca_USMA_PopGen_JYD
