Chr	Median.cov.chr	Norm.global.coverage	Sample
1	300	0.993377483443709	P_Sinaloa_USMA_PopGen_JYD
2	300	0.993377483443709	P_Sinaloa_USMA_PopGen_JYD
3	301	0.996688741721854	P_Sinaloa_USMA_PopGen_JYD
4	297	0.983443708609272	P_Sinaloa_USMA_PopGen_JYD
5	298	0.986754966887417	P_Sinaloa_USMA_PopGen_JYD
6	298	0.986754966887417	P_Sinaloa_USMA_PopGen_JYD
7	297	0.983443708609272	P_Sinaloa_USMA_PopGen_JYD
8	298	0.986754966887417	P_Sinaloa_USMA_PopGen_JYD
9	583	1.93046357615894	P_Sinaloa_USMA_PopGen_JYD
10	300	0.993377483443709	P_Sinaloa_USMA_PopGen_JYD
11	298	0.986754966887417	P_Sinaloa_USMA_PopGen_JYD
12	299	0.990066225165563	P_Sinaloa_USMA_PopGen_JYD
13	296	0.980132450331126	P_Sinaloa_USMA_PopGen_JYD
14	298	0.986754966887417	P_Sinaloa_USMA_PopGen_JYD
15	298	0.986754966887417	P_Sinaloa_USMA_PopGen_JYD
16	589	1.95033112582781	P_Sinaloa_USMA_PopGen_JYD
17	299	0.990066225165563	P_Sinaloa_USMA_PopGen_JYD
18	298	0.986754966887417	P_Sinaloa_USMA_PopGen_JYD
19	298	0.986754966887417	P_Sinaloa_USMA_PopGen_JYD
20	301	0.996688741721854	P_Sinaloa_USMA_PopGen_JYD
21	300	0.993377483443709	P_Sinaloa_USMA_PopGen_JYD
22	296	0.980132450331126	P_Sinaloa_USMA_PopGen_JYD
23	298	0.986754966887417	P_Sinaloa_USMA_PopGen_JYD
24	7854	26.0066225165563	P_Sinaloa_USMA_PopGen_JYD
25	304	1.00662251655629	P_Sinaloa_USMA_PopGen_JYD
26	297	0.983443708609272	P_Sinaloa_USMA_PopGen_JYD
27	322	1.06622516556291	P_Sinaloa_USMA_PopGen_JYD
28	6	0.0198675496688742	P_Sinaloa_USMA_PopGen_JYD
