Chr	Median.cov.chr	Norm.global.coverage	Sample
1	170	1	Q_Sinaloa_USMA_PopGen_JYD
2	169	0.994117647058824	Q_Sinaloa_USMA_PopGen_JYD
3	170	1	Q_Sinaloa_USMA_PopGen_JYD
4	166	0.976470588235294	Q_Sinaloa_USMA_PopGen_JYD
5	170	1	Q_Sinaloa_USMA_PopGen_JYD
6	169	0.994117647058824	Q_Sinaloa_USMA_PopGen_JYD
7	168	0.988235294117647	Q_Sinaloa_USMA_PopGen_JYD
8	168	0.988235294117647	Q_Sinaloa_USMA_PopGen_JYD
9	170	1	Q_Sinaloa_USMA_PopGen_JYD
10	168	0.988235294117647	Q_Sinaloa_USMA_PopGen_JYD
11	168	0.988235294117647	Q_Sinaloa_USMA_PopGen_JYD
12	168	0.988235294117647	Q_Sinaloa_USMA_PopGen_JYD
13	168	0.988235294117647	Q_Sinaloa_USMA_PopGen_JYD
14	167	0.982352941176471	Q_Sinaloa_USMA_PopGen_JYD
15	167	0.982352941176471	Q_Sinaloa_USMA_PopGen_JYD
16	331	1.94705882352941	Q_Sinaloa_USMA_PopGen_JYD
17	169	0.994117647058824	Q_Sinaloa_USMA_PopGen_JYD
18	168	0.988235294117647	Q_Sinaloa_USMA_PopGen_JYD
19	168	0.988235294117647	Q_Sinaloa_USMA_PopGen_JYD
20	169	0.994117647058824	Q_Sinaloa_USMA_PopGen_JYD
21	168	0.988235294117647	Q_Sinaloa_USMA_PopGen_JYD
22	166	0.976470588235294	Q_Sinaloa_USMA_PopGen_JYD
23	330	1.94117647058824	Q_Sinaloa_USMA_PopGen_JYD
24	6605	38.8529411764706	Q_Sinaloa_USMA_PopGen_JYD
25	176	1.03529411764706	Q_Sinaloa_USMA_PopGen_JYD
26	321	1.88823529411765	Q_Sinaloa_USMA_PopGen_JYD
27	369	2.17058823529412	Q_Sinaloa_USMA_PopGen_JYD
28	5	0.0294117647058824	Q_Sinaloa_USMA_PopGen_JYD
