Chr	Median.cov.chr	Norm.global.coverage	Sample
1	241	1.01260504201681	R_Sinaloa_USMA_PopGen_JYD
2	240	1.00840336134454	R_Sinaloa_USMA_PopGen_JYD
3	240	1.00840336134454	R_Sinaloa_USMA_PopGen_JYD
4	235	0.987394957983193	R_Sinaloa_USMA_PopGen_JYD
5	239	1.00420168067227	R_Sinaloa_USMA_PopGen_JYD
6	237	0.995798319327731	R_Sinaloa_USMA_PopGen_JYD
7	236	0.991596638655462	R_Sinaloa_USMA_PopGen_JYD
8	236	0.991596638655462	R_Sinaloa_USMA_PopGen_JYD
9	239	1.00420168067227	R_Sinaloa_USMA_PopGen_JYD
10	237	0.995798319327731	R_Sinaloa_USMA_PopGen_JYD
11	236	0.991596638655462	R_Sinaloa_USMA_PopGen_JYD
12	237	0.995798319327731	R_Sinaloa_USMA_PopGen_JYD
13	234	0.983193277310924	R_Sinaloa_USMA_PopGen_JYD
14	236	0.991596638655462	R_Sinaloa_USMA_PopGen_JYD
15	235	0.987394957983193	R_Sinaloa_USMA_PopGen_JYD
16	236	0.991596638655462	R_Sinaloa_USMA_PopGen_JYD
17	237	0.995798319327731	R_Sinaloa_USMA_PopGen_JYD
18	234	0.983193277310924	R_Sinaloa_USMA_PopGen_JYD
19	236	0.991596638655462	R_Sinaloa_USMA_PopGen_JYD
20	240	1.00840336134454	R_Sinaloa_USMA_PopGen_JYD
21	236	0.991596638655462	R_Sinaloa_USMA_PopGen_JYD
22	231	0.970588235294118	R_Sinaloa_USMA_PopGen_JYD
23	234	0.983193277310924	R_Sinaloa_USMA_PopGen_JYD
24	7808	32.8067226890756	R_Sinaloa_USMA_PopGen_JYD
25	234	0.983193277310924	R_Sinaloa_USMA_PopGen_JYD
26	229	0.96218487394958	R_Sinaloa_USMA_PopGen_JYD
27	235	0.987394957983193	R_Sinaloa_USMA_PopGen_JYD
28	0	0	R_Sinaloa_USMA_PopGen_JYD
