Chr	Median.cov.chr	Norm.global.coverage	Sample
1	127	1.016	T_Toluca_USMA_PopGen_JYD
2	127	1.016	T_Toluca_USMA_PopGen_JYD
3	127	1.016	T_Toluca_USMA_PopGen_JYD
4	125	1	T_Toluca_USMA_PopGen_JYD
5	125	1	T_Toluca_USMA_PopGen_JYD
6	125	1	T_Toluca_USMA_PopGen_JYD
7	124	0.992	T_Toluca_USMA_PopGen_JYD
8	123	0.984	T_Toluca_USMA_PopGen_JYD
9	127	1.016	T_Toluca_USMA_PopGen_JYD
10	124	0.992	T_Toluca_USMA_PopGen_JYD
11	125	1	T_Toluca_USMA_PopGen_JYD
12	123	0.984	T_Toluca_USMA_PopGen_JYD
13	122	0.976	T_Toluca_USMA_PopGen_JYD
14	122	0.976	T_Toluca_USMA_PopGen_JYD
15	122	0.976	T_Toluca_USMA_PopGen_JYD
16	122	0.976	T_Toluca_USMA_PopGen_JYD
17	122	0.976	T_Toluca_USMA_PopGen_JYD
18	122	0.976	T_Toluca_USMA_PopGen_JYD
19	125	1	T_Toluca_USMA_PopGen_JYD
20	126	1.008	T_Toluca_USMA_PopGen_JYD
21	121	0.968	T_Toluca_USMA_PopGen_JYD
22	119	0.952	T_Toluca_USMA_PopGen_JYD
23	122	0.976	T_Toluca_USMA_PopGen_JYD
24	7316	58.528	T_Toluca_USMA_PopGen_JYD
25	128	1.024	T_Toluca_USMA_PopGen_JYD
26	125	1	T_Toluca_USMA_PopGen_JYD
27	144	1.152	T_Toluca_USMA_PopGen_JYD
28	1	0.008	T_Toluca_USMA_PopGen_JYD
