Chr	Median.cov.chr	Norm.global.coverage	Sample
1	193	1.00520833333333	U_Toluca_USMA_PopGen_JYD
2	191	0.994791666666667	U_Toluca_USMA_PopGen_JYD
3	191	0.994791666666667	U_Toluca_USMA_PopGen_JYD
4	209	1.08854166666667	U_Toluca_USMA_PopGen_JYD
5	192	1	U_Toluca_USMA_PopGen_JYD
6	192	1	U_Toluca_USMA_PopGen_JYD
7	189	0.984375	U_Toluca_USMA_PopGen_JYD
8	189	0.984375	U_Toluca_USMA_PopGen_JYD
9	192	1	U_Toluca_USMA_PopGen_JYD
10	192	1	U_Toluca_USMA_PopGen_JYD
11	190	0.989583333333333	U_Toluca_USMA_PopGen_JYD
12	189	0.984375	U_Toluca_USMA_PopGen_JYD
13	188	0.979166666666667	U_Toluca_USMA_PopGen_JYD
14	190	0.989583333333333	U_Toluca_USMA_PopGen_JYD
15	190	0.989583333333333	U_Toluca_USMA_PopGen_JYD
16	221	1.15104166666667	U_Toluca_USMA_PopGen_JYD
17	192	1	U_Toluca_USMA_PopGen_JYD
18	187	0.973958333333333	U_Toluca_USMA_PopGen_JYD
19	191	0.994791666666667	U_Toluca_USMA_PopGen_JYD
20	192	1	U_Toluca_USMA_PopGen_JYD
21	189	0.984375	U_Toluca_USMA_PopGen_JYD
22	187	0.973958333333333	U_Toluca_USMA_PopGen_JYD
23	190	0.989583333333333	U_Toluca_USMA_PopGen_JYD
24	7003	36.4739583333333	U_Toluca_USMA_PopGen_JYD
25	211	1.09895833333333	U_Toluca_USMA_PopGen_JYD
26	202	1.05208333333333	U_Toluca_USMA_PopGen_JYD
27	226	1.17708333333333	U_Toluca_USMA_PopGen_JYD
28	7	0.0364583333333333	U_Toluca_USMA_PopGen_JYD
