Chr	Median.cov.chr	Norm.global.coverage	Sample
1	107	1.00943396226415	Um_128_USMA_PopGen_GD
2	106	1	Um_128_USMA_PopGen_GD
3	108	1.0188679245283	Um_128_USMA_PopGen_GD
4	103	0.971698113207547	Um_128_USMA_PopGen_GD
5	106	1	Um_128_USMA_PopGen_GD
6	107	1.00943396226415	Um_128_USMA_PopGen_GD
7	106	1	Um_128_USMA_PopGen_GD
8	107	1.00943396226415	Um_128_USMA_PopGen_GD
9	106	1	Um_128_USMA_PopGen_GD
10	106	1	Um_128_USMA_PopGen_GD
11	107	1.00943396226415	Um_128_USMA_PopGen_GD
12	108	1.0188679245283	Um_128_USMA_PopGen_GD
13	106	1	Um_128_USMA_PopGen_GD
14	106	1	Um_128_USMA_PopGen_GD
15	107	1.00943396226415	Um_128_USMA_PopGen_GD
16	104	0.981132075471698	Um_128_USMA_PopGen_GD
17	106	1	Um_128_USMA_PopGen_GD
18	106	1	Um_128_USMA_PopGen_GD
19	106	1	Um_128_USMA_PopGen_GD
20	107	1.00943396226415	Um_128_USMA_PopGen_GD
21	105	0.990566037735849	Um_128_USMA_PopGen_GD
22	104	0.981132075471698	Um_128_USMA_PopGen_GD
23	104	0.981132075471698	Um_128_USMA_PopGen_GD
24	385	3.63207547169811	Um_128_USMA_PopGen_GD
25	97	0.915094339622642	Um_128_USMA_PopGen_GD
26	97	0.915094339622642	Um_128_USMA_PopGen_GD
27	105	0.990566037735849	Um_128_USMA_PopGen_GD
28	12	0.113207547169811	Um_128_USMA_PopGen_GD
