Chr	Median.cov.chr	Norm.global.coverage	Sample
1	33	1.03125	V_Toluca_USMA_PopGen_JYD
2	33	1.03125	V_Toluca_USMA_PopGen_JYD
3	33	1.03125	V_Toluca_USMA_PopGen_JYD
4	32	1	V_Toluca_USMA_PopGen_JYD
5	32	1	V_Toluca_USMA_PopGen_JYD
6	32	1	V_Toluca_USMA_PopGen_JYD
7	32	1	V_Toluca_USMA_PopGen_JYD
8	32	1	V_Toluca_USMA_PopGen_JYD
9	33	1.03125	V_Toluca_USMA_PopGen_JYD
10	32	1	V_Toluca_USMA_PopGen_JYD
11	32	1	V_Toluca_USMA_PopGen_JYD
12	32	1	V_Toluca_USMA_PopGen_JYD
13	32	1	V_Toluca_USMA_PopGen_JYD
14	32	1	V_Toluca_USMA_PopGen_JYD
15	32	1	V_Toluca_USMA_PopGen_JYD
16	32	1	V_Toluca_USMA_PopGen_JYD
17	32	1	V_Toluca_USMA_PopGen_JYD
18	32	1	V_Toluca_USMA_PopGen_JYD
19	32	1	V_Toluca_USMA_PopGen_JYD
20	33	1.03125	V_Toluca_USMA_PopGen_JYD
21	32	1	V_Toluca_USMA_PopGen_JYD
22	32	1	V_Toluca_USMA_PopGen_JYD
23	32	1	V_Toluca_USMA_PopGen_JYD
24	1632	51	V_Toluca_USMA_PopGen_JYD
25	33	1.03125	V_Toluca_USMA_PopGen_JYD
26	37	1.15625	V_Toluca_USMA_PopGen_JYD
27	32	1	V_Toluca_USMA_PopGen_JYD
28	0	0	V_Toluca_USMA_PopGen_JYD
