Chr	Median.cov.chr	Norm.global.coverage	Sample
1	26	1.08333333333333	H_Oaxaca_USMA_PopGen_JYD
2	26	1.08333333333333	H_Oaxaca_USMA_PopGen_JYD
3	26	1.08333333333333	H_Oaxaca_USMA_PopGen_JYD
4	24	1	H_Oaxaca_USMA_PopGen_JYD
5	24	1	H_Oaxaca_USMA_PopGen_JYD
6	24	1	H_Oaxaca_USMA_PopGen_JYD
7	24	1	H_Oaxaca_USMA_PopGen_JYD
8	24	1	H_Oaxaca_USMA_PopGen_JYD
9	26	1.08333333333333	H_Oaxaca_USMA_PopGen_JYD
10	24	1	H_Oaxaca_USMA_PopGen_JYD
11	24	1	H_Oaxaca_USMA_PopGen_JYD
12	24	1	H_Oaxaca_USMA_PopGen_JYD
13	24	1	H_Oaxaca_USMA_PopGen_JYD
14	24	1	H_Oaxaca_USMA_PopGen_JYD
15	24	1	H_Oaxaca_USMA_PopGen_JYD
16	24	1	H_Oaxaca_USMA_PopGen_JYD
17	24	1	H_Oaxaca_USMA_PopGen_JYD
18	24	1	H_Oaxaca_USMA_PopGen_JYD
19	24	1	H_Oaxaca_USMA_PopGen_JYD
20	26	1.08333333333333	H_Oaxaca_USMA_PopGen_JYD
21	24	1	H_Oaxaca_USMA_PopGen_JYD
22	24	1	H_Oaxaca_USMA_PopGen_JYD
23	24	1	H_Oaxaca_USMA_PopGen_JYD
24	336	14	H_Oaxaca_USMA_PopGen_JYD
25	24	1	H_Oaxaca_USMA_PopGen_JYD
26	26	1.08333333333333	H_Oaxaca_USMA_PopGen_JYD
27	26	1.08333333333333	H_Oaxaca_USMA_PopGen_JYD
28	0	0	H_Oaxaca_USMA_PopGen_JYD
