Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	66	L_Pachuca_USMA_PopGen_JYD	142	0.464788732394366
1	1001	2000	151	L_Pachuca_USMA_PopGen_JYD	142	1.06338028169014
1	2001	3000	161	L_Pachuca_USMA_PopGen_JYD	142	1.13380281690141
1	3001	4000	135	L_Pachuca_USMA_PopGen_JYD	142	0.950704225352113
1	4001	5000	146.5	L_Pachuca_USMA_PopGen_JYD	142	1.03169014084507
1	5001	6000	143	L_Pachuca_USMA_PopGen_JYD	142	1.00704225352113
1	6001	7000	151	L_Pachuca_USMA_PopGen_JYD	142	1.06338028169014
1	7001	8000	144	L_Pachuca_USMA_PopGen_JYD	142	1.01408450704225
1	8001	9000	117	L_Pachuca_USMA_PopGen_JYD	142	0.823943661971831
1	9001	10000	0	L_Pachuca_USMA_PopGen_JYD	142	0
1	10001	11000	112	L_Pachuca_USMA_PopGen_JYD	142	0.788732394366197
1	11001	12000	125	L_Pachuca_USMA_PopGen_JYD	142	0.880281690140845
1	12001	13000	146	L_Pachuca_USMA_PopGen_JYD	142	1.02816901408451
1	13001	14000	149	L_Pachuca_USMA_PopGen_JYD	142	1.04929577464789
1	14001	15000	130	L_Pachuca_USMA_PopGen_JYD	142	0.915492957746479
1	15001	16000	140	L_Pachuca_USMA_PopGen_JYD	142	0.985915492957746
1	16001	17000	154	L_Pachuca_USMA_PopGen_JYD	142	1.08450704225352
1	17001	18000	143	L_Pachuca_USMA_PopGen_JYD	142	1.00704225352113
1	18001	19000	135	L_Pachuca_USMA_PopGen_JYD	142	0.950704225352113
1	19001	20000	138	L_Pachuca_USMA_PopGen_JYD	142	0.971830985915493
1	20001	21000	129	L_Pachuca_USMA_PopGen_JYD	142	0.908450704225352
1	21001	22000	128	L_Pachuca_USMA_PopGen_JYD	142	0.901408450704225
1	22001	23000	133	L_Pachuca_USMA_PopGen_JYD	142	0.936619718309859
1	23001	24000	145	L_Pachuca_USMA_PopGen_JYD	142	1.02112676056338
1	24001	25000	138	L_Pachuca_USMA_PopGen_JYD	142	0.971830985915493
1	25001	26000	144	L_Pachuca_USMA_PopGen_JYD	142	1.01408450704225
1	26001	27000	142.5	L_Pachuca_USMA_PopGen_JYD	142	1.00352112676056
1	27001	28000	139.5	L_Pachuca_USMA_PopGen_JYD	142	0.982394366197183
1	28001	29000	151.5	L_Pachuca_USMA_PopGen_JYD	142	1.0669014084507
1	29001	30000	157	L_Pachuca_USMA_PopGen_JYD	142	1.1056338028169
1	30001	31000	144	L_Pachuca_USMA_PopGen_JYD	142	1.01408450704225
1	31001	32000	126	L_Pachuca_USMA_PopGen_JYD	142	0.887323943661972
