Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	89	D_Irapuato_USMA_PopGen_JYD	209	0.429951690821256
1	1001	2000	229	D_Irapuato_USMA_PopGen_JYD	209	1.10628019323672
1	2001	3000	231	D_Irapuato_USMA_PopGen_JYD	209	1.11594202898551
1	3001	4000	211.5	D_Irapuato_USMA_PopGen_JYD	209	1.02173913043478
1	4001	5000	226	D_Irapuato_USMA_PopGen_JYD	209	1.09178743961353
1	5001	6000	233	D_Irapuato_USMA_PopGen_JYD	209	1.1256038647343
1	6001	7000	227	D_Irapuato_USMA_PopGen_JYD	209	1.09661835748792
1	7001	8000	205	D_Irapuato_USMA_PopGen_JYD	209	0.990338164251208
1	8001	9000	189.5	D_Irapuato_USMA_PopGen_JYD	209	0.915458937198068
1	9001	10000	0	D_Irapuato_USMA_PopGen_JYD	209	0
1	10001	11000	206	D_Irapuato_USMA_PopGen_JYD	209	0.995169082125604
1	11001	12000	184	D_Irapuato_USMA_PopGen_JYD	209	0.888888888888889
1	12001	13000	216	D_Irapuato_USMA_PopGen_JYD	209	1.04347826086957
1	13001	14000	214	D_Irapuato_USMA_PopGen_JYD	209	1.03381642512077
1	14001	15000	218	D_Irapuato_USMA_PopGen_JYD	209	1.05314009661836
1	15001	16000	220	D_Irapuato_USMA_PopGen_JYD	209	1.06280193236715
1	16001	17000	219	D_Irapuato_USMA_PopGen_JYD	209	1.05797101449275
1	17001	18000	202	D_Irapuato_USMA_PopGen_JYD	209	0.975845410628019
1	18001	19000	221	D_Irapuato_USMA_PopGen_JYD	209	1.06763285024155
1	19001	20000	223	D_Irapuato_USMA_PopGen_JYD	209	1.07729468599034
1	20001	21000	208	D_Irapuato_USMA_PopGen_JYD	209	1.0048309178744
1	21001	22000	188	D_Irapuato_USMA_PopGen_JYD	209	0.908212560386473
1	22001	23000	203	D_Irapuato_USMA_PopGen_JYD	209	0.980676328502415
1	23001	24000	214	D_Irapuato_USMA_PopGen_JYD	209	1.03381642512077
1	24001	25000	205	D_Irapuato_USMA_PopGen_JYD	209	0.990338164251208
1	25001	26000	205	D_Irapuato_USMA_PopGen_JYD	209	0.990338164251208
1	26001	27000	255	D_Irapuato_USMA_PopGen_JYD	209	1.23188405797101
1	27001	28000	217	D_Irapuato_USMA_PopGen_JYD	209	1.04830917874396
1	28001	29000	213	D_Irapuato_USMA_PopGen_JYD	209	1.02898550724638
1	29001	30000	244.5	D_Irapuato_USMA_PopGen_JYD	209	1.18115942028985
1	30001	31000	224	D_Irapuato_USMA_PopGen_JYD	209	1.08212560386473
1	31001	32000	203	D_Irapuato_USMA_PopGen_JYD	209	0.980676328502415
1	32001	33000	201	D_Irapuato_USMA_PopGen_JYD	209	0.971014492753623
1	33001	34000	212	D_Irapuato_USMA_PopGen_JYD	209	1.02415458937198
1	34001	35000	212	D_Irapuato_USMA_PopGen_JYD	209	1.02415458937198
1	35001	36000	227	D_Irapuato_USMA_PopGen_JYD	209	1.09661835748792
1	36001	37000	232	D_Irapuato_USMA_PopGen_JYD	209	1.1207729468599
1	37001	38000	247	D_Irapuato_USMA_PopGen_JYD	209	1.19323671497585
1	38001	39000	248	D_Irapuato_USMA_PopGen_JYD	209	1.19806763285024
1	39001	40000	179	D_Irapuato_USMA_PopGen_JYD	209	0.864734299516908
