Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	52.5	J_Oaxaca_USMA_PopGen_JYD	167	0.31437125748503
1	1001	2000	180	J_Oaxaca_USMA_PopGen_JYD	167	1.07784431137725
1	2001	3000	210	J_Oaxaca_USMA_PopGen_JYD	167	1.25748502994012
1	3001	4000	170.5	J_Oaxaca_USMA_PopGen_JYD	167	1.02095808383234
1	4001	5000	171	J_Oaxaca_USMA_PopGen_JYD	167	1.02395209580838
1	5001	6000	190	J_Oaxaca_USMA_PopGen_JYD	167	1.1377245508982
1	6001	7000	177.5	J_Oaxaca_USMA_PopGen_JYD	167	1.06287425149701
1	7001	8000	166	J_Oaxaca_USMA_PopGen_JYD	167	0.994011976047904
1	8001	9000	167	J_Oaxaca_USMA_PopGen_JYD	167	1
1	9001	10000	0	J_Oaxaca_USMA_PopGen_JYD	167	0
1	10001	11000	152	J_Oaxaca_USMA_PopGen_JYD	167	0.910179640718563
1	11001	12000	141	J_Oaxaca_USMA_PopGen_JYD	167	0.844311377245509
1	12001	13000	184	J_Oaxaca_USMA_PopGen_JYD	167	1.10179640718563
1	13001	14000	161	J_Oaxaca_USMA_PopGen_JYD	167	0.964071856287425
1	14001	15000	166	J_Oaxaca_USMA_PopGen_JYD	167	0.994011976047904
1	15001	16000	181	J_Oaxaca_USMA_PopGen_JYD	167	1.08383233532934
1	16001	17000	186	J_Oaxaca_USMA_PopGen_JYD	167	1.11377245508982
1	17001	18000	160	J_Oaxaca_USMA_PopGen_JYD	167	0.958083832335329
1	18001	19000	181	J_Oaxaca_USMA_PopGen_JYD	167	1.08383233532934
1	19001	20000	167	J_Oaxaca_USMA_PopGen_JYD	167	1
1	20001	21000	161	J_Oaxaca_USMA_PopGen_JYD	167	0.964071856287425
1	21001	22000	167	J_Oaxaca_USMA_PopGen_JYD	167	1
1	22001	23000	162	J_Oaxaca_USMA_PopGen_JYD	167	0.970059880239521
1	23001	24000	155	J_Oaxaca_USMA_PopGen_JYD	167	0.92814371257485
1	24001	25000	167	J_Oaxaca_USMA_PopGen_JYD	167	1
1	25001	26000	164	J_Oaxaca_USMA_PopGen_JYD	167	0.982035928143713
1	26001	27000	182	J_Oaxaca_USMA_PopGen_JYD	167	1.08982035928144
1	27001	28000	169	J_Oaxaca_USMA_PopGen_JYD	167	1.01197604790419
1	28001	29000	175	J_Oaxaca_USMA_PopGen_JYD	167	1.04790419161677
1	29001	30000	188	J_Oaxaca_USMA_PopGen_JYD	167	1.12574850299401
1	30001	31000	177	J_Oaxaca_USMA_PopGen_JYD	167	1.05988023952096
1	31001	32000	155	J_Oaxaca_USMA_PopGen_JYD	167	0.92814371257485
1	32001	33000	161	J_Oaxaca_USMA_PopGen_JYD	167	0.964071856287425
1	33001	34000	153	J_Oaxaca_USMA_PopGen_JYD	167	0.916167664670659
1	34001	35000	167	J_Oaxaca_USMA_PopGen_JYD	167	1
1	35001	36000	181	J_Oaxaca_USMA_PopGen_JYD	167	1.08383233532934
1	36001	37000	181	J_Oaxaca_USMA_PopGen_JYD	167	1.08383233532934
1	37001	38000	178	J_Oaxaca_USMA_PopGen_JYD	167	1.06586826347305
1	38001	39000	172	J_Oaxaca_USMA_PopGen_JYD	167	1.02994011976048
1	39001	40000	137	J_Oaxaca_USMA_PopGen_JYD	167	0.820359281437126
1	40001	41000	137	J_Oaxaca_USMA_PopGen_JYD	167	0.820359281437126
1	41001	42000	171	J_Oaxaca_USMA_PopGen_JYD	167	1.02395209580838
1	42001	43000	168	J_Oaxaca_USMA_PopGen_JYD	167	1.0059880239521
1	43001	44000	164	J_Oaxaca_USMA_PopGen_JYD	167	0.982035928143713
1	44001	45000	160	J_Oaxaca_USMA_PopGen_JYD	167	0.958083832335329
1	45001	46000	164	J_Oaxaca_USMA_PopGen_JYD	167	0.982035928143713
1	46001	47000	139	J_Oaxaca_USMA_PopGen_JYD	167	0.832335329341317
1	47001	48000	150	J_Oaxaca_USMA_PopGen_JYD	167	0.898203592814371
1	48001	49000	166	J_Oaxaca_USMA_PopGen_JYD	167	0.994011976047904
1	49001	50000	151	J_Oaxaca_USMA_PopGen_JYD	167	0.904191616766467
1	50001	51000	160	J_Oaxaca_USMA_PopGen_JYD	167	0.958083832335329
1	51001	52000	194	J_Oaxaca_USMA_PopGen_JYD	167	1.16167664670659
1	52001	53000	148	J_Oaxaca_USMA_PopGen_JYD	167	0.88622754491018
1	53001	54000	180	J_Oaxaca_USMA_PopGen_JYD	167	1.07784431137725
1	54001	55000	160	J_Oaxaca_USMA_PopGen_JYD	167	0.958083832335329
1	55001	56000	172	J_Oaxaca_USMA_PopGen_JYD	167	1.02994011976048
1	56001	57000	186	J_Oaxaca_USMA_PopGen_JYD	167	1.11377245508982
1	57001	58000	175	J_Oaxaca_USMA_PopGen_JYD	167	1.04790419161677
1	58001	59000	182	J_Oaxaca_USMA_PopGen_JYD	167	1.08982035928144
1	59001	60000	179	J_Oaxaca_USMA_PopGen_JYD	167	1.07185628742515
1	60001	61000	177	J_Oaxaca_USMA_PopGen_JYD	167	1.05988023952096
1	61001	62000	172	J_Oaxaca_USMA_PopGen_JYD	167	1.02994011976048
1	62001	63000	183	J_Oaxaca_USMA_PopGen_JYD	167	1.09580838323353
1	63001	64000	165	J_Oaxaca_USMA_PopGen_JYD	167	0.988023952095808
1	64001	65000	128	J_Oaxaca_USMA_PopGen_JYD	167	0.766467065868264
1	65001	66000	162.5	J_Oaxaca_USMA_PopGen_JYD	167	0.973053892215569
1	66001	67000	176	J_Oaxaca_USMA_PopGen_JYD	167	1.05389221556886
1	67001	68000	161	J_Oaxaca_USMA_PopGen_JYD	167	0.964071856287425
1	68001	69000	178	J_Oaxaca_USMA_PopGen_JYD	167	1.06586826347305
1	69001	70000	153	J_Oaxaca_USMA_PopGen_JYD	167	0.916167664670659
1	70001	71000	159	J_Oaxaca_USMA_PopGen_JYD	167	0.952095808383233
1	71001	72000	175	J_Oaxaca_USMA_PopGen_JYD	167	1.04790419161677
1	72001	73000	154	J_Oaxaca_USMA_PopGen_JYD	167	0.922155688622755
1	73001	74000	183	J_Oaxaca_USMA_PopGen_JYD	167	1.09580838323353
1	74001	75000	177	J_Oaxaca_USMA_PopGen_JYD	167	1.05988023952096
1	75001	76000	168	J_Oaxaca_USMA_PopGen_JYD	167	1.0059880239521
1	76001	77000	156	J_Oaxaca_USMA_PopGen_JYD	167	0.934131736526946
1	77001	78000	160	J_Oaxaca_USMA_PopGen_JYD	167	0.958083832335329
