Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	55.5	C_Irapuato_USMA_PopGen_JYD	204	0.261792452830189
1	1001	2000	194	C_Irapuato_USMA_PopGen_JYD	204	0.915094339622642
1	2001	3000	239	C_Irapuato_USMA_PopGen_JYD	204	1.12735849056604
1	3001	4000	189	C_Irapuato_USMA_PopGen_JYD	204	0.891509433962264
1	4001	5000	216	C_Irapuato_USMA_PopGen_JYD	204	1.0188679245283
1	5001	6000	251	C_Irapuato_USMA_PopGen_JYD	204	1.18396226415094
1	6001	7000	208	C_Irapuato_USMA_PopGen_JYD	204	0.981132075471698
1	7001	8000	210	C_Irapuato_USMA_PopGen_JYD	204	0.990566037735849
1	8001	9000	186	C_Irapuato_USMA_PopGen_JYD	204	0.877358490566038
1	9001	10000	0	C_Irapuato_USMA_PopGen_JYD	204	0
1	10001	11000	186	C_Irapuato_USMA_PopGen_JYD	204	0.877358490566038
1	11001	12000	158	C_Irapuato_USMA_PopGen_JYD	204	0.745283018867924
1	12001	13000	212	C_Irapuato_USMA_PopGen_JYD	204	1
1	13001	14000	200	C_Irapuato_USMA_PopGen_JYD	204	0.943396226415094
1	14001	15000	219	C_Irapuato_USMA_PopGen_JYD	204	1.03301886792453
1	15001	16000	200.5	C_Irapuato_USMA_PopGen_JYD	204	0.945754716981132
1	16001	17000	229	C_Irapuato_USMA_PopGen_JYD	204	1.08018867924528
1	17001	18000	196	C_Irapuato_USMA_PopGen_JYD	204	0.924528301886792
1	18001	19000	227	C_Irapuato_USMA_PopGen_JYD	204	1.07075471698113
1	19001	20000	226	C_Irapuato_USMA_PopGen_JYD	204	1.06603773584906
1	20001	21000	187	C_Irapuato_USMA_PopGen_JYD	204	0.882075471698113
1	21001	22000	192	C_Irapuato_USMA_PopGen_JYD	204	0.905660377358491
1	22001	23000	197	C_Irapuato_USMA_PopGen_JYD	204	0.929245283018868
1	23001	24000	208	C_Irapuato_USMA_PopGen_JYD	204	0.981132075471698
1	24001	25000	189	C_Irapuato_USMA_PopGen_JYD	204	0.891509433962264
1	25001	26000	195	C_Irapuato_USMA_PopGen_JYD	204	0.919811320754717
1	26001	27000	236	C_Irapuato_USMA_PopGen_JYD	204	1.11320754716981
