Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	92	P_Sinaloa_USMA_PopGen_JYD	300	0.304635761589404
1	1001	2000	330	P_Sinaloa_USMA_PopGen_JYD	300	1.09271523178808
1	2001	3000	332	P_Sinaloa_USMA_PopGen_JYD	300	1.09933774834437
1	3001	4000	321	P_Sinaloa_USMA_PopGen_JYD	300	1.06291390728477
1	4001	5000	320	P_Sinaloa_USMA_PopGen_JYD	300	1.05960264900662
1	5001	6000	335	P_Sinaloa_USMA_PopGen_JYD	300	1.10927152317881
1	6001	7000	303	P_Sinaloa_USMA_PopGen_JYD	300	1.00331125827815
1	7001	8000	294	P_Sinaloa_USMA_PopGen_JYD	300	0.973509933774834
1	8001	9000	281	P_Sinaloa_USMA_PopGen_JYD	300	0.93046357615894
1	9001	10000	0	P_Sinaloa_USMA_PopGen_JYD	300	0
1	10001	11000	259	P_Sinaloa_USMA_PopGen_JYD	300	0.857615894039735
1	11001	12000	265	P_Sinaloa_USMA_PopGen_JYD	300	0.877483443708609
1	12001	13000	288.5	P_Sinaloa_USMA_PopGen_JYD	300	0.955298013245033
1	13001	14000	290	P_Sinaloa_USMA_PopGen_JYD	300	0.960264900662252
1	14001	15000	308	P_Sinaloa_USMA_PopGen_JYD	300	1.01986754966887
1	15001	16000	316	P_Sinaloa_USMA_PopGen_JYD	300	1.04635761589404
1	16001	17000	332	P_Sinaloa_USMA_PopGen_JYD	300	1.09933774834437
1	17001	18000	299	P_Sinaloa_USMA_PopGen_JYD	300	0.990066225165563
1	18001	19000	316	P_Sinaloa_USMA_PopGen_JYD	300	1.04635761589404
1	19001	20000	305	P_Sinaloa_USMA_PopGen_JYD	300	1.00993377483444
1	20001	21000	296	P_Sinaloa_USMA_PopGen_JYD	300	0.980132450331126
1	21001	22000	292	P_Sinaloa_USMA_PopGen_JYD	300	0.966887417218543
1	22001	23000	304	P_Sinaloa_USMA_PopGen_JYD	300	1.00662251655629
1	23001	24000	283	P_Sinaloa_USMA_PopGen_JYD	300	0.937086092715232
1	24001	25000	313	P_Sinaloa_USMA_PopGen_JYD	300	1.0364238410596
1	25001	26000	309.5	P_Sinaloa_USMA_PopGen_JYD	300	1.02483443708609
1	26001	27000	350	P_Sinaloa_USMA_PopGen_JYD	300	1.15894039735099
1	27001	28000	307	P_Sinaloa_USMA_PopGen_JYD	300	1.01655629139073
1	28001	29000	307	P_Sinaloa_USMA_PopGen_JYD	300	1.01655629139073
1	29001	30000	328	P_Sinaloa_USMA_PopGen_JYD	300	1.08609271523179
1	30001	31000	333	P_Sinaloa_USMA_PopGen_JYD	300	1.10264900662252
1	31001	32000	291	P_Sinaloa_USMA_PopGen_JYD	300	0.963576158940397
1	32001	33000	281	P_Sinaloa_USMA_PopGen_JYD	300	0.93046357615894
1	33001	34000	304	P_Sinaloa_USMA_PopGen_JYD	300	1.00662251655629
1	34001	35000	311	P_Sinaloa_USMA_PopGen_JYD	300	1.02980132450331
1	35001	36000	327.5	P_Sinaloa_USMA_PopGen_JYD	300	1.08443708609272
1	36001	37000	316	P_Sinaloa_USMA_PopGen_JYD	300	1.04635761589404
1	37001	38000	331	P_Sinaloa_USMA_PopGen_JYD	300	1.09602649006623
1	38001	39000	334	P_Sinaloa_USMA_PopGen_JYD	300	1.10596026490066
1	39001	40000	262	P_Sinaloa_USMA_PopGen_JYD	300	0.867549668874172
1	40001	41000	279	P_Sinaloa_USMA_PopGen_JYD	300	0.923841059602649
1	41001	42000	306	P_Sinaloa_USMA_PopGen_JYD	300	1.01324503311258
1	42001	43000	287	P_Sinaloa_USMA_PopGen_JYD	300	0.950331125827815
1	43001	44000	291.5	P_Sinaloa_USMA_PopGen_JYD	300	0.96523178807947
1	44001	45000	284	P_Sinaloa_USMA_PopGen_JYD	300	0.940397350993378
1	45001	46000	281	P_Sinaloa_USMA_PopGen_JYD	300	0.93046357615894
1	46001	47000	268	P_Sinaloa_USMA_PopGen_JYD	300	0.887417218543046
1	47001	48000	289	P_Sinaloa_USMA_PopGen_JYD	300	0.956953642384106
