Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	45	F_Oaxaca_USMA_PopGen_JYD	132	0.343511450381679
1	1001	2000	129	F_Oaxaca_USMA_PopGen_JYD	132	0.984732824427481
1	2001	3000	142.5	F_Oaxaca_USMA_PopGen_JYD	132	1.08778625954198
1	3001	4000	127	F_Oaxaca_USMA_PopGen_JYD	132	0.969465648854962
1	4001	5000	161	F_Oaxaca_USMA_PopGen_JYD	132	1.22900763358779
1	5001	6000	143	F_Oaxaca_USMA_PopGen_JYD	132	1.09160305343511
1	6001	7000	140	F_Oaxaca_USMA_PopGen_JYD	132	1.06870229007634
1	7001	8000	128	F_Oaxaca_USMA_PopGen_JYD	132	0.977099236641221
1	8001	9000	106	F_Oaxaca_USMA_PopGen_JYD	132	0.809160305343511
1	9001	10000	0	F_Oaxaca_USMA_PopGen_JYD	132	0
1	10001	11000	114	F_Oaxaca_USMA_PopGen_JYD	132	0.870229007633588
1	11001	12000	107	F_Oaxaca_USMA_PopGen_JYD	132	0.816793893129771
1	12001	13000	135	F_Oaxaca_USMA_PopGen_JYD	132	1.03053435114504
1	13001	14000	124	F_Oaxaca_USMA_PopGen_JYD	132	0.946564885496183
1	14001	15000	146	F_Oaxaca_USMA_PopGen_JYD	132	1.11450381679389
1	15001	16000	134	F_Oaxaca_USMA_PopGen_JYD	132	1.02290076335878
1	16001	17000	135	F_Oaxaca_USMA_PopGen_JYD	132	1.03053435114504
1	17001	18000	128	F_Oaxaca_USMA_PopGen_JYD	132	0.977099236641221
1	18001	19000	122.5	F_Oaxaca_USMA_PopGen_JYD	132	0.935114503816794
1	19001	20000	115	F_Oaxaca_USMA_PopGen_JYD	132	0.877862595419847
1	20001	21000	121	F_Oaxaca_USMA_PopGen_JYD	132	0.923664122137405
1	21001	22000	112	F_Oaxaca_USMA_PopGen_JYD	132	0.854961832061069
1	22001	23000	110	F_Oaxaca_USMA_PopGen_JYD	132	0.83969465648855
1	23001	24000	129	F_Oaxaca_USMA_PopGen_JYD	132	0.984732824427481
1	24001	25000	120	F_Oaxaca_USMA_PopGen_JYD	132	0.916030534351145
1	25001	26000	133	F_Oaxaca_USMA_PopGen_JYD	132	1.01526717557252
1	26001	27000	147	F_Oaxaca_USMA_PopGen_JYD	132	1.12213740458015
1	27001	28000	140	F_Oaxaca_USMA_PopGen_JYD	132	1.06870229007634
1	28001	29000	130	F_Oaxaca_USMA_PopGen_JYD	132	0.99236641221374
1	29001	30000	158	F_Oaxaca_USMA_PopGen_JYD	132	1.20610687022901
1	30001	31000	144	F_Oaxaca_USMA_PopGen_JYD	132	1.09923664122137
1	31001	32000	112	F_Oaxaca_USMA_PopGen_JYD	132	0.854961832061069
1	32001	33000	126	F_Oaxaca_USMA_PopGen_JYD	132	0.961832061068702
1	33001	34000	130	F_Oaxaca_USMA_PopGen_JYD	132	0.99236641221374
1	34001	35000	113	F_Oaxaca_USMA_PopGen_JYD	132	0.862595419847328
1	35001	36000	135	F_Oaxaca_USMA_PopGen_JYD	132	1.03053435114504
1	36001	37000	140	F_Oaxaca_USMA_PopGen_JYD	132	1.06870229007634
1	37001	38000	137	F_Oaxaca_USMA_PopGen_JYD	132	1.04580152671756
1	38001	39000	141	F_Oaxaca_USMA_PopGen_JYD	132	1.0763358778626
1	39001	40000	113	F_Oaxaca_USMA_PopGen_JYD	132	0.862595419847328
1	40001	41000	113	F_Oaxaca_USMA_PopGen_JYD	132	0.862595419847328
1	41001	42000	148	F_Oaxaca_USMA_PopGen_JYD	132	1.12977099236641
1	42001	43000	135	F_Oaxaca_USMA_PopGen_JYD	132	1.03053435114504
1	43001	44000	139	F_Oaxaca_USMA_PopGen_JYD	132	1.06106870229008
1	44001	45000	134	F_Oaxaca_USMA_PopGen_JYD	132	1.02290076335878
1	45001	46000	113	F_Oaxaca_USMA_PopGen_JYD	132	0.862595419847328
1	46001	47000	105	F_Oaxaca_USMA_PopGen_JYD	132	0.801526717557252
1	47001	48000	109	F_Oaxaca_USMA_PopGen_JYD	132	0.83206106870229
1	48001	49000	132	F_Oaxaca_USMA_PopGen_JYD	132	1.00763358778626
1	49001	50000	137	F_Oaxaca_USMA_PopGen_JYD	132	1.04580152671756
1	50001	51000	114	F_Oaxaca_USMA_PopGen_JYD	132	0.870229007633588
1	51001	52000	146	F_Oaxaca_USMA_PopGen_JYD	132	1.11450381679389
1	52001	53000	114	F_Oaxaca_USMA_PopGen_JYD	132	0.870229007633588
1	53001	54000	159	F_Oaxaca_USMA_PopGen_JYD	132	1.21374045801527
1	54001	55000	122	F_Oaxaca_USMA_PopGen_JYD	132	0.931297709923664
1	55001	56000	139	F_Oaxaca_USMA_PopGen_JYD	132	1.06106870229008
1	56001	57000	140	F_Oaxaca_USMA_PopGen_JYD	132	1.06870229007634
1	57001	58000	137	F_Oaxaca_USMA_PopGen_JYD	132	1.04580152671756
1	58001	59000	144	F_Oaxaca_USMA_PopGen_JYD	132	1.09923664122137
1	59001	60000	130	F_Oaxaca_USMA_PopGen_JYD	132	0.99236641221374
1	60001	61000	136	F_Oaxaca_USMA_PopGen_JYD	132	1.0381679389313
1	61001	62000	121	F_Oaxaca_USMA_PopGen_JYD	132	0.923664122137405
1	62001	63000	129	F_Oaxaca_USMA_PopGen_JYD	132	0.984732824427481
1	63001	64000	122.5	F_Oaxaca_USMA_PopGen_JYD	132	0.935114503816794
1	64001	65000	103	F_Oaxaca_USMA_PopGen_JYD	132	0.786259541984733
1	65001	66000	119	F_Oaxaca_USMA_PopGen_JYD	132	0.908396946564885
1	66001	67000	135	F_Oaxaca_USMA_PopGen_JYD	132	1.03053435114504
1	67001	68000	127	F_Oaxaca_USMA_PopGen_JYD	132	0.969465648854962
1	68001	69000	147	F_Oaxaca_USMA_PopGen_JYD	132	1.12213740458015
1	69001	70000	138	F_Oaxaca_USMA_PopGen_JYD	132	1.05343511450382
1	70001	71000	122	F_Oaxaca_USMA_PopGen_JYD	132	0.931297709923664
1	71001	72000	136	F_Oaxaca_USMA_PopGen_JYD	132	1.0381679389313
1	72001	73000	133	F_Oaxaca_USMA_PopGen_JYD	132	1.01526717557252
1	73001	74000	126	F_Oaxaca_USMA_PopGen_JYD	132	0.961832061068702
1	74001	75000	142	F_Oaxaca_USMA_PopGen_JYD	132	1.08396946564885
1	75001	76000	143	F_Oaxaca_USMA_PopGen_JYD	132	1.09160305343511
1	76001	77000	137	F_Oaxaca_USMA_PopGen_JYD	132	1.04580152671756
1	77001	78000	128	F_Oaxaca_USMA_PopGen_JYD	132	0.977099236641221
1	78001	79000	119	F_Oaxaca_USMA_PopGen_JYD	132	0.908396946564885
1	79001	80000	111	F_Oaxaca_USMA_PopGen_JYD	132	0.847328244274809
1	80001	81000	125	F_Oaxaca_USMA_PopGen_JYD	132	0.954198473282443
1	81001	82000	141	F_Oaxaca_USMA_PopGen_JYD	132	1.0763358778626
1	82001	83000	140	F_Oaxaca_USMA_PopGen_JYD	132	1.06870229007634
1	83001	84000	125	F_Oaxaca_USMA_PopGen_JYD	132	0.954198473282443
1	84001	85000	138	F_Oaxaca_USMA_PopGen_JYD	132	1.05343511450382
1	85001	86000	107	F_Oaxaca_USMA_PopGen_JYD	132	0.816793893129771
1	86001	87000	141	F_Oaxaca_USMA_PopGen_JYD	132	1.0763358778626
1	87001	88000	117	F_Oaxaca_USMA_PopGen_JYD	132	0.893129770992366
1	88001	89000	115	F_Oaxaca_USMA_PopGen_JYD	132	0.877862595419847
1	89001	90000	123	F_Oaxaca_USMA_PopGen_JYD	132	0.938931297709924
1	90001	91000	130	F_Oaxaca_USMA_PopGen_JYD	132	0.99236641221374
1	91001	92000	119	F_Oaxaca_USMA_PopGen_JYD	132	0.908396946564885
1	92001	93000	138	F_Oaxaca_USMA_PopGen_JYD	132	1.05343511450382
1	93001	94000	117	F_Oaxaca_USMA_PopGen_JYD	132	0.893129770992366
1	94001	95000	114	F_Oaxaca_USMA_PopGen_JYD	132	0.870229007633588
