Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	69.5	A_Irapuato_USMA_PopGen_JYD	159	0.423780487804878
1	1001	2000	181	A_Irapuato_USMA_PopGen_JYD	159	1.10365853658537
1	2001	3000	192	A_Irapuato_USMA_PopGen_JYD	159	1.17073170731707
1	3001	4000	156	A_Irapuato_USMA_PopGen_JYD	159	0.951219512195122
1	4001	5000	162	A_Irapuato_USMA_PopGen_JYD	159	0.98780487804878
1	5001	6000	178	A_Irapuato_USMA_PopGen_JYD	159	1.08536585365854
1	6001	7000	169	A_Irapuato_USMA_PopGen_JYD	159	1.03048780487805
1	7001	8000	157	A_Irapuato_USMA_PopGen_JYD	159	0.957317073170732
1	8001	9000	138	A_Irapuato_USMA_PopGen_JYD	159	0.841463414634146
1	9001	10000	0	A_Irapuato_USMA_PopGen_JYD	159	0
1	10001	11000	150	A_Irapuato_USMA_PopGen_JYD	159	0.914634146341463
1	11001	12000	133	A_Irapuato_USMA_PopGen_JYD	159	0.810975609756098
1	12001	13000	153	A_Irapuato_USMA_PopGen_JYD	159	0.932926829268293
1	13001	14000	160	A_Irapuato_USMA_PopGen_JYD	159	0.975609756097561
1	14001	15000	163	A_Irapuato_USMA_PopGen_JYD	159	0.99390243902439
1	15001	16000	169	A_Irapuato_USMA_PopGen_JYD	159	1.03048780487805
1	16001	17000	179	A_Irapuato_USMA_PopGen_JYD	159	1.09146341463415
1	17001	18000	155	A_Irapuato_USMA_PopGen_JYD	159	0.945121951219512
1	18001	19000	171	A_Irapuato_USMA_PopGen_JYD	159	1.04268292682927
1	19001	20000	158	A_Irapuato_USMA_PopGen_JYD	159	0.963414634146341
1	20001	21000	147	A_Irapuato_USMA_PopGen_JYD	159	0.896341463414634
1	21001	22000	157	A_Irapuato_USMA_PopGen_JYD	159	0.957317073170732
1	22001	23000	152	A_Irapuato_USMA_PopGen_JYD	159	0.926829268292683
1	23001	24000	159	A_Irapuato_USMA_PopGen_JYD	159	0.969512195121951
1	24001	25000	157	A_Irapuato_USMA_PopGen_JYD	159	0.957317073170732
1	25001	26000	168	A_Irapuato_USMA_PopGen_JYD	159	1.02439024390244
1	26001	27000	190	A_Irapuato_USMA_PopGen_JYD	159	1.15853658536585
1	27001	28000	159	A_Irapuato_USMA_PopGen_JYD	159	0.969512195121951
1	28001	29000	162	A_Irapuato_USMA_PopGen_JYD	159	0.98780487804878
1	29001	30000	186	A_Irapuato_USMA_PopGen_JYD	159	1.13414634146341
1	30001	31000	171	A_Irapuato_USMA_PopGen_JYD	159	1.04268292682927
1	31001	32000	140	A_Irapuato_USMA_PopGen_JYD	159	0.853658536585366
1	32001	33000	155	A_Irapuato_USMA_PopGen_JYD	159	0.945121951219512
1	33001	34000	150	A_Irapuato_USMA_PopGen_JYD	159	0.914634146341463
1	34001	35000	162	A_Irapuato_USMA_PopGen_JYD	159	0.98780487804878
1	35001	36000	173	A_Irapuato_USMA_PopGen_JYD	159	1.05487804878049
1	36001	37000	157	A_Irapuato_USMA_PopGen_JYD	159	0.957317073170732
1	37001	38000	177	A_Irapuato_USMA_PopGen_JYD	159	1.07926829268293
1	38001	39000	184	A_Irapuato_USMA_PopGen_JYD	159	1.1219512195122
1	39001	40000	137	A_Irapuato_USMA_PopGen_JYD	159	0.835365853658537
1	40001	41000	132	A_Irapuato_USMA_PopGen_JYD	159	0.804878048780488
1	41001	42000	170	A_Irapuato_USMA_PopGen_JYD	159	1.03658536585366
1	42001	43000	156	A_Irapuato_USMA_PopGen_JYD	159	0.951219512195122
1	43001	44000	164.5	A_Irapuato_USMA_PopGen_JYD	159	1.0030487804878
1	44001	45000	153	A_Irapuato_USMA_PopGen_JYD	159	0.932926829268293
1	45001	46000	156	A_Irapuato_USMA_PopGen_JYD	159	0.951219512195122
1	46001	47000	136	A_Irapuato_USMA_PopGen_JYD	159	0.829268292682927
1	47001	48000	140	A_Irapuato_USMA_PopGen_JYD	159	0.853658536585366
1	48001	49000	152	A_Irapuato_USMA_PopGen_JYD	159	0.926829268292683
1	49001	50000	151	A_Irapuato_USMA_PopGen_JYD	159	0.920731707317073
1	50001	51000	142	A_Irapuato_USMA_PopGen_JYD	159	0.865853658536585
1	51001	52000	182	A_Irapuato_USMA_PopGen_JYD	159	1.10975609756098
1	52001	53000	149	A_Irapuato_USMA_PopGen_JYD	159	0.908536585365854
1	53001	54000	180	A_Irapuato_USMA_PopGen_JYD	159	1.09756097560976
1	54001	55000	159	A_Irapuato_USMA_PopGen_JYD	159	0.969512195121951
1	55001	56000	171	A_Irapuato_USMA_PopGen_JYD	159	1.04268292682927
1	56001	57000	170	A_Irapuato_USMA_PopGen_JYD	159	1.03658536585366
1	57001	58000	164	A_Irapuato_USMA_PopGen_JYD	159	1
1	58001	59000	159	A_Irapuato_USMA_PopGen_JYD	159	0.969512195121951
1	59001	60000	139	A_Irapuato_USMA_PopGen_JYD	159	0.847560975609756
1	60001	61000	161	A_Irapuato_USMA_PopGen_JYD	159	0.981707317073171
1	61001	62000	162	A_Irapuato_USMA_PopGen_JYD	159	0.98780487804878
1	62001	63000	162	A_Irapuato_USMA_PopGen_JYD	159	0.98780487804878
1	63001	64000	149	A_Irapuato_USMA_PopGen_JYD	159	0.908536585365854
1	64001	65000	117	A_Irapuato_USMA_PopGen_JYD	159	0.713414634146341
1	65001	66000	150	A_Irapuato_USMA_PopGen_JYD	159	0.914634146341463
1	66001	67000	172	A_Irapuato_USMA_PopGen_JYD	159	1.04878048780488
1	67001	68000	143	A_Irapuato_USMA_PopGen_JYD	159	0.871951219512195
1	68001	69000	164	A_Irapuato_USMA_PopGen_JYD	159	1
1	69001	70000	160	A_Irapuato_USMA_PopGen_JYD	159	0.975609756097561
1	70001	71000	152	A_Irapuato_USMA_PopGen_JYD	159	0.926829268292683
1	71001	72000	169	A_Irapuato_USMA_PopGen_JYD	159	1.03048780487805
1	72001	73000	156	A_Irapuato_USMA_PopGen_JYD	159	0.951219512195122
1	73001	74000	162	A_Irapuato_USMA_PopGen_JYD	159	0.98780487804878
1	74001	75000	170	A_Irapuato_USMA_PopGen_JYD	159	1.03658536585366
1	75001	76000	162	A_Irapuato_USMA_PopGen_JYD	159	0.98780487804878
1	76001	77000	172	A_Irapuato_USMA_PopGen_JYD	159	1.04878048780488
1	77001	78000	143	A_Irapuato_USMA_PopGen_JYD	159	0.871951219512195
1	78001	79000	161	A_Irapuato_USMA_PopGen_JYD	159	0.981707317073171
1	79001	80000	145	A_Irapuato_USMA_PopGen_JYD	159	0.884146341463415
1	80001	81000	143	A_Irapuato_USMA_PopGen_JYD	159	0.871951219512195
1	81001	82000	173	A_Irapuato_USMA_PopGen_JYD	159	1.05487804878049
1	82001	83000	161	A_Irapuato_USMA_PopGen_JYD	159	0.981707317073171
1	83001	84000	152.5	A_Irapuato_USMA_PopGen_JYD	159	0.929878048780488
1	84001	85000	171	A_Irapuato_USMA_PopGen_JYD	159	1.04268292682927
1	85001	86000	137	A_Irapuato_USMA_PopGen_JYD	159	0.835365853658537
1	86001	87000	164	A_Irapuato_USMA_PopGen_JYD	159	1
1	87001	88000	135	A_Irapuato_USMA_PopGen_JYD	159	0.823170731707317
1	88001	89000	135	A_Irapuato_USMA_PopGen_JYD	159	0.823170731707317
1	89001	90000	154	A_Irapuato_USMA_PopGen_JYD	159	0.939024390243902
1	90001	91000	166	A_Irapuato_USMA_PopGen_JYD	159	1.01219512195122
1	91001	92000	147	A_Irapuato_USMA_PopGen_JYD	159	0.896341463414634
1	92001	93000	168	A_Irapuato_USMA_PopGen_JYD	159	1.02439024390244
1	93001	94000	142	A_Irapuato_USMA_PopGen_JYD	159	0.865853658536585
1	94001	95000	151	A_Irapuato_USMA_PopGen_JYD	159	0.920731707317073
1	95001	96000	174	A_Irapuato_USMA_PopGen_JYD	159	1.0609756097561
1	96001	97000	148	A_Irapuato_USMA_PopGen_JYD	159	0.902439024390244
1	97001	98000	147	A_Irapuato_USMA_PopGen_JYD	159	0.896341463414634
1	98001	99000	156	A_Irapuato_USMA_PopGen_JYD	159	0.951219512195122
1	99001	100000	168	A_Irapuato_USMA_PopGen_JYD	159	1.02439024390244
1	100001	101000	152	A_Irapuato_USMA_PopGen_JYD	159	0.926829268292683
1	101001	102000	144	A_Irapuato_USMA_PopGen_JYD	159	0.878048780487805
1	102001	103000	169	A_Irapuato_USMA_PopGen_JYD	159	1.03048780487805
1	103001	104000	171	A_Irapuato_USMA_PopGen_JYD	159	1.04268292682927
1	104001	105000	151	A_Irapuato_USMA_PopGen_JYD	159	0.920731707317073
1	105001	106000	154	A_Irapuato_USMA_PopGen_JYD	159	0.939024390243902
1	106001	107000	155	A_Irapuato_USMA_PopGen_JYD	159	0.945121951219512
1	107001	108000	130	A_Irapuato_USMA_PopGen_JYD	159	0.792682926829268
1	108001	109000	153	A_Irapuato_USMA_PopGen_JYD	159	0.932926829268293
1	109001	110000	148.5	A_Irapuato_USMA_PopGen_JYD	159	0.905487804878049
1	110001	111000	155	A_Irapuato_USMA_PopGen_JYD	159	0.945121951219512
