Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	66.5	S_Toluca_USMA_PopGen_JYD	171	0.393491124260355
1	1001	2000	176	S_Toluca_USMA_PopGen_JYD	171	1.0414201183432
1	2001	3000	193.5	S_Toluca_USMA_PopGen_JYD	171	1.14497041420118
1	3001	4000	152	S_Toluca_USMA_PopGen_JYD	171	0.899408284023669
1	4001	5000	190	S_Toluca_USMA_PopGen_JYD	171	1.12426035502959
1	5001	6000	201.5	S_Toluca_USMA_PopGen_JYD	171	1.19230769230769
1	6001	7000	175	S_Toluca_USMA_PopGen_JYD	171	1.03550295857988
1	7001	8000	169	S_Toluca_USMA_PopGen_JYD	171	1
1	8001	9000	159.5	S_Toluca_USMA_PopGen_JYD	171	0.943786982248521
1	9001	10000	0	S_Toluca_USMA_PopGen_JYD	171	0
1	10001	11000	163	S_Toluca_USMA_PopGen_JYD	171	0.964497041420118
1	11001	12000	139	S_Toluca_USMA_PopGen_JYD	171	0.822485207100592
1	12001	13000	161	S_Toluca_USMA_PopGen_JYD	171	0.952662721893491
1	13001	14000	183	S_Toluca_USMA_PopGen_JYD	171	1.08284023668639
1	14001	15000	177	S_Toluca_USMA_PopGen_JYD	171	1.04733727810651
1	15001	16000	175	S_Toluca_USMA_PopGen_JYD	171	1.03550295857988
1	16001	17000	174	S_Toluca_USMA_PopGen_JYD	171	1.02958579881657
1	17001	18000	182	S_Toluca_USMA_PopGen_JYD	171	1.07692307692308
1	18001	19000	181	S_Toluca_USMA_PopGen_JYD	171	1.07100591715976
1	19001	20000	183.5	S_Toluca_USMA_PopGen_JYD	171	1.08579881656805
1	20001	21000	154	S_Toluca_USMA_PopGen_JYD	171	0.911242603550296
1	21001	22000	153	S_Toluca_USMA_PopGen_JYD	171	0.905325443786982
1	22001	23000	162	S_Toluca_USMA_PopGen_JYD	171	0.958579881656805
1	23001	24000	176	S_Toluca_USMA_PopGen_JYD	171	1.0414201183432
1	24001	25000	163.5	S_Toluca_USMA_PopGen_JYD	171	0.967455621301775
1	25001	26000	162	S_Toluca_USMA_PopGen_JYD	171	0.958579881656805
1	26001	27000	195.5	S_Toluca_USMA_PopGen_JYD	171	1.15680473372781
1	27001	28000	171	S_Toluca_USMA_PopGen_JYD	171	1.01183431952663
1	28001	29000	191	S_Toluca_USMA_PopGen_JYD	171	1.1301775147929
1	29001	30000	207	S_Toluca_USMA_PopGen_JYD	171	1.22485207100592
1	30001	31000	166	S_Toluca_USMA_PopGen_JYD	171	0.982248520710059
1	31001	32000	156	S_Toluca_USMA_PopGen_JYD	171	0.923076923076923
1	32001	33000	169	S_Toluca_USMA_PopGen_JYD	171	1
1	33001	34000	164	S_Toluca_USMA_PopGen_JYD	171	0.970414201183432
1	34001	35000	165	S_Toluca_USMA_PopGen_JYD	171	0.976331360946746
1	35001	36000	195	S_Toluca_USMA_PopGen_JYD	171	1.15384615384615
1	36001	37000	196	S_Toluca_USMA_PopGen_JYD	171	1.15976331360947
1	37001	38000	169	S_Toluca_USMA_PopGen_JYD	171	1
1	38001	39000	196	S_Toluca_USMA_PopGen_JYD	171	1.15976331360947
