Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	41	T_Toluca_USMA_PopGen_JYD	127	0.328
1	1001	2000	118	T_Toluca_USMA_PopGen_JYD	127	0.944
1	2001	3000	133	T_Toluca_USMA_PopGen_JYD	127	1.064
1	3001	4000	116	T_Toluca_USMA_PopGen_JYD	127	0.928
1	4001	5000	128	T_Toluca_USMA_PopGen_JYD	127	1.024
1	5001	6000	137	T_Toluca_USMA_PopGen_JYD	127	1.096
1	6001	7000	134	T_Toluca_USMA_PopGen_JYD	127	1.072
1	7001	8000	126	T_Toluca_USMA_PopGen_JYD	127	1.008
1	8001	9000	123	T_Toluca_USMA_PopGen_JYD	127	0.984
1	9001	10000	0	T_Toluca_USMA_PopGen_JYD	127	0
1	10001	11000	110	T_Toluca_USMA_PopGen_JYD	127	0.88
1	11001	12000	95	T_Toluca_USMA_PopGen_JYD	127	0.76
1	12001	13000	116	T_Toluca_USMA_PopGen_JYD	127	0.928
1	13001	14000	129.5	T_Toluca_USMA_PopGen_JYD	127	1.036
1	14001	15000	128	T_Toluca_USMA_PopGen_JYD	127	1.024
1	15001	16000	132	T_Toluca_USMA_PopGen_JYD	127	1.056
1	16001	17000	135	T_Toluca_USMA_PopGen_JYD	127	1.08
1	17001	18000	124	T_Toluca_USMA_PopGen_JYD	127	0.992
1	18001	19000	139	T_Toluca_USMA_PopGen_JYD	127	1.112
1	19001	20000	122	T_Toluca_USMA_PopGen_JYD	127	0.976
1	20001	21000	121	T_Toluca_USMA_PopGen_JYD	127	0.968
1	21001	22000	111	T_Toluca_USMA_PopGen_JYD	127	0.888
1	22001	23000	128	T_Toluca_USMA_PopGen_JYD	127	1.024
1	23001	24000	126	T_Toluca_USMA_PopGen_JYD	127	1.008
1	24001	25000	109	T_Toluca_USMA_PopGen_JYD	127	0.872
1	25001	26000	117	T_Toluca_USMA_PopGen_JYD	127	0.936
1	26001	27000	145.5	T_Toluca_USMA_PopGen_JYD	127	1.164
1	27001	28000	116	T_Toluca_USMA_PopGen_JYD	127	0.928
1	28001	29000	131	T_Toluca_USMA_PopGen_JYD	127	1.048
1	29001	30000	151	T_Toluca_USMA_PopGen_JYD	127	1.208
1	30001	31000	132	T_Toluca_USMA_PopGen_JYD	127	1.056
1	31001	32000	110	T_Toluca_USMA_PopGen_JYD	127	0.88
1	32001	33000	116.5	T_Toluca_USMA_PopGen_JYD	127	0.932
1	33001	34000	118.5	T_Toluca_USMA_PopGen_JYD	127	0.948
1	34001	35000	105	T_Toluca_USMA_PopGen_JYD	127	0.84
1	35001	36000	131	T_Toluca_USMA_PopGen_JYD	127	1.048
1	36001	37000	144	T_Toluca_USMA_PopGen_JYD	127	1.152
1	37001	38000	135	T_Toluca_USMA_PopGen_JYD	127	1.08
1	38001	39000	125	T_Toluca_USMA_PopGen_JYD	127	1
1	39001	40000	107.5	T_Toluca_USMA_PopGen_JYD	127	0.86
1	40001	41000	102	T_Toluca_USMA_PopGen_JYD	127	0.816
1	41001	42000	122	T_Toluca_USMA_PopGen_JYD	127	0.976
1	42001	43000	117	T_Toluca_USMA_PopGen_JYD	127	0.936
