Chr	Median.cov.chr	Norm.global.coverage	Sample
1	95	1	Um_114_USMA_PopGen_GD
2	93	0.978947368421053	Um_114_USMA_PopGen_GD
3	95	1	Um_114_USMA_PopGen_GD
4	93	0.978947368421053	Um_114_USMA_PopGen_GD
5	93	0.978947368421053	Um_114_USMA_PopGen_GD
6	95	1	Um_114_USMA_PopGen_GD
7	94	0.989473684210526	Um_114_USMA_PopGen_GD
8	95	1	Um_114_USMA_PopGen_GD
9	95	1	Um_114_USMA_PopGen_GD
10	95	1	Um_114_USMA_PopGen_GD
11	95	1	Um_114_USMA_PopGen_GD
12	96	1.01052631578947	Um_114_USMA_PopGen_GD
13	95	1	Um_114_USMA_PopGen_GD
14	93	0.978947368421053	Um_114_USMA_PopGen_GD
15	97	1.02105263157895	Um_114_USMA_PopGen_GD
16	95	1	Um_114_USMA_PopGen_GD
17	96	1.01052631578947	Um_114_USMA_PopGen_GD
18	94	0.989473684210526	Um_114_USMA_PopGen_GD
19	95	1	Um_114_USMA_PopGen_GD
20	96	1.01052631578947	Um_114_USMA_PopGen_GD
21	95	1	Um_114_USMA_PopGen_GD
22	94	0.989473684210526	Um_114_USMA_PopGen_GD
23	94	0.989473684210526	Um_114_USMA_PopGen_GD
24	492	5.17894736842105	Um_114_USMA_PopGen_GD
25	87	0.91578947368421	Um_114_USMA_PopGen_GD
26	90	0.947368421052632	Um_114_USMA_PopGen_GD
27	93	0.978947368421053	Um_114_USMA_PopGen_GD
28	13	0.136842105263158	Um_114_USMA_PopGen_GD
