Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	40	Um_120_USMA_PopGen_GD	94	0.425531914893617
1	1001	2000	112	Um_120_USMA_PopGen_GD	94	1.19148936170213
1	2001	3000	92	Um_120_USMA_PopGen_GD	94	0.978723404255319
1	3001	4000	97	Um_120_USMA_PopGen_GD	94	1.03191489361702
1	4001	5000	90	Um_120_USMA_PopGen_GD	94	0.957446808510638
1	5001	6000	94	Um_120_USMA_PopGen_GD	94	1
1	6001	7000	94	Um_120_USMA_PopGen_GD	94	1
1	7001	8000	105	Um_120_USMA_PopGen_GD	94	1.11702127659574
1	8001	9000	70	Um_120_USMA_PopGen_GD	94	0.74468085106383
1	9001	10000	0	Um_120_USMA_PopGen_GD	94	0
1	10001	11000	86	Um_120_USMA_PopGen_GD	94	0.914893617021277
1	11001	12000	101	Um_120_USMA_PopGen_GD	94	1.07446808510638
1	12001	13000	98	Um_120_USMA_PopGen_GD	94	1.04255319148936
1	13001	14000	94	Um_120_USMA_PopGen_GD	94	1
1	14001	15000	87	Um_120_USMA_PopGen_GD	94	0.925531914893617
1	15001	16000	103	Um_120_USMA_PopGen_GD	94	1.09574468085106
1	16001	17000	95	Um_120_USMA_PopGen_GD	94	1.01063829787234
1	17001	18000	104	Um_120_USMA_PopGen_GD	94	1.1063829787234
1	18001	19000	94	Um_120_USMA_PopGen_GD	94	1
1	19001	20000	90	Um_120_USMA_PopGen_GD	94	0.957446808510638
1	20001	21000	88	Um_120_USMA_PopGen_GD	94	0.936170212765957
1	21001	22000	95	Um_120_USMA_PopGen_GD	94	1.01063829787234
1	22001	23000	86	Um_120_USMA_PopGen_GD	94	0.914893617021277
1	23001	24000	94	Um_120_USMA_PopGen_GD	94	1
1	24001	25000	95	Um_120_USMA_PopGen_GD	94	1.01063829787234
1	25001	26000	105	Um_120_USMA_PopGen_GD	94	1.11702127659574
1	26001	27000	97	Um_120_USMA_PopGen_GD	94	1.03191489361702
1	27001	28000	102	Um_120_USMA_PopGen_GD	94	1.08510638297872
1	28001	29000	91	Um_120_USMA_PopGen_GD	94	0.968085106382979
1	29001	30000	94	Um_120_USMA_PopGen_GD	94	1
1	30001	31000	101	Um_120_USMA_PopGen_GD	94	1.07446808510638
1	31001	32000	105	Um_120_USMA_PopGen_GD	94	1.11702127659574
1	32001	33000	85	Um_120_USMA_PopGen_GD	94	0.904255319148936
1	33001	34000	90	Um_120_USMA_PopGen_GD	94	0.957446808510638
1	34001	35000	100	Um_120_USMA_PopGen_GD	94	1.06382978723404
1	35001	36000	94	Um_120_USMA_PopGen_GD	94	1
1	36001	37000	85	Um_120_USMA_PopGen_GD	94	0.904255319148936
1	37001	38000	86	Um_120_USMA_PopGen_GD	94	0.914893617021277
1	38001	39000	92	Um_120_USMA_PopGen_GD	94	0.978723404255319
1	39001	40000	85	Um_120_USMA_PopGen_GD	94	0.904255319148936
1	40001	41000	101	Um_120_USMA_PopGen_GD	94	1.07446808510638
1	41001	42000	94	Um_120_USMA_PopGen_GD	94	1
1	42001	43000	99	Um_120_USMA_PopGen_GD	94	1.0531914893617
1	43001	44000	92	Um_120_USMA_PopGen_GD	94	0.978723404255319
1	44001	45000	95	Um_120_USMA_PopGen_GD	94	1.01063829787234
1	45001	46000	94	Um_120_USMA_PopGen_GD	94	1
1	46001	47000	98	Um_120_USMA_PopGen_GD	94	1.04255319148936
1	47001	48000	93	Um_120_USMA_PopGen_GD	94	0.98936170212766
1	48001	49000	107	Um_120_USMA_PopGen_GD	94	1.13829787234043
1	49001	50000	97	Um_120_USMA_PopGen_GD	94	1.03191489361702
1	50001	51000	96	Um_120_USMA_PopGen_GD	94	1.02127659574468
1	51001	52000	85	Um_120_USMA_PopGen_GD	94	0.904255319148936
1	52001	53000	107	Um_120_USMA_PopGen_GD	94	1.13829787234043
1	53001	54000	87	Um_120_USMA_PopGen_GD	94	0.925531914893617
1	54001	55000	90	Um_120_USMA_PopGen_GD	94	0.957446808510638
1	55001	56000	93	Um_120_USMA_PopGen_GD	94	0.98936170212766
1	56001	57000	99	Um_120_USMA_PopGen_GD	94	1.0531914893617
1	57001	58000	91	Um_120_USMA_PopGen_GD	94	0.968085106382979
1	58001	59000	88	Um_120_USMA_PopGen_GD	94	0.936170212765957
1	59001	60000	97	Um_120_USMA_PopGen_GD	94	1.03191489361702
1	60001	61000	105	Um_120_USMA_PopGen_GD	94	1.11702127659574
1	61001	62000	97	Um_120_USMA_PopGen_GD	94	1.03191489361702
1	62001	63000	96	Um_120_USMA_PopGen_GD	94	1.02127659574468
1	63001	64000	100	Um_120_USMA_PopGen_GD	94	1.06382978723404
1	64001	65000	91	Um_120_USMA_PopGen_GD	94	0.968085106382979
1	65001	66000	95.5	Um_120_USMA_PopGen_GD	94	1.01595744680851
1	66001	67000	106	Um_120_USMA_PopGen_GD	94	1.12765957446809
1	67001	68000	96	Um_120_USMA_PopGen_GD	94	1.02127659574468
1	68001	69000	98	Um_120_USMA_PopGen_GD	94	1.04255319148936
1	69001	70000	89	Um_120_USMA_PopGen_GD	94	0.946808510638298
1	70001	71000	81	Um_120_USMA_PopGen_GD	94	0.861702127659574
1	71001	72000	94	Um_120_USMA_PopGen_GD	94	1
1	72001	73000	94	Um_120_USMA_PopGen_GD	94	1
1	73001	74000	91	Um_120_USMA_PopGen_GD	94	0.968085106382979
1	74001	75000	93	Um_120_USMA_PopGen_GD	94	0.98936170212766
1	75001	76000	96	Um_120_USMA_PopGen_GD	94	1.02127659574468
1	76001	77000	94	Um_120_USMA_PopGen_GD	94	1
1	77001	78000	91	Um_120_USMA_PopGen_GD	94	0.968085106382979
1	78001	79000	96	Um_120_USMA_PopGen_GD	94	1.02127659574468
1	79001	80000	109	Um_120_USMA_PopGen_GD	94	1.15957446808511
1	80001	81000	101	Um_120_USMA_PopGen_GD	94	1.07446808510638
1	81001	82000	104	Um_120_USMA_PopGen_GD	94	1.1063829787234
1	82001	83000	85	Um_120_USMA_PopGen_GD	94	0.904255319148936
1	83001	84000	98	Um_120_USMA_PopGen_GD	94	1.04255319148936
1	84001	85000	88	Um_120_USMA_PopGen_GD	94	0.936170212765957
1	85001	86000	102	Um_120_USMA_PopGen_GD	94	1.08510638297872
1	86001	87000	100	Um_120_USMA_PopGen_GD	94	1.06382978723404
1	87001	88000	102	Um_120_USMA_PopGen_GD	94	1.08510638297872
1	88001	89000	95	Um_120_USMA_PopGen_GD	94	1.01063829787234
1	89001	90000	89	Um_120_USMA_PopGen_GD	94	0.946808510638298
1	90001	91000	96	Um_120_USMA_PopGen_GD	94	1.02127659574468
1	91001	92000	98	Um_120_USMA_PopGen_GD	94	1.04255319148936
1	92001	93000	91	Um_120_USMA_PopGen_GD	94	0.968085106382979
1	93001	94000	104.5	Um_120_USMA_PopGen_GD	94	1.11170212765957
1	94001	95000	95	Um_120_USMA_PopGen_GD	94	1.01063829787234
1	95001	96000	95	Um_120_USMA_PopGen_GD	94	1.01063829787234
1	96001	97000	100	Um_120_USMA_PopGen_GD	94	1.06382978723404
1	97001	98000	101	Um_120_USMA_PopGen_GD	94	1.07446808510638
1	98001	99000	92	Um_120_USMA_PopGen_GD	94	0.978723404255319
1	99001	100000	94	Um_120_USMA_PopGen_GD	94	1
1	100001	101000	88	Um_120_USMA_PopGen_GD	94	0.936170212765957
1	101001	102000	86	Um_120_USMA_PopGen_GD	94	0.914893617021277
1	102001	103000	89.5	Um_120_USMA_PopGen_GD	94	0.952127659574468
1	103001	104000	95	Um_120_USMA_PopGen_GD	94	1.01063829787234
1	104001	105000	95	Um_120_USMA_PopGen_GD	94	1.01063829787234
1	105001	106000	103	Um_120_USMA_PopGen_GD	94	1.09574468085106
1	106001	107000	103	Um_120_USMA_PopGen_GD	94	1.09574468085106
1	107001	108000	93	Um_120_USMA_PopGen_GD	94	0.98936170212766
1	108001	109000	90	Um_120_USMA_PopGen_GD	94	0.957446808510638
1	109001	110000	102	Um_120_USMA_PopGen_GD	94	1.08510638297872
1	110001	111000	98	Um_120_USMA_PopGen_GD	94	1.04255319148936
1	111001	112000	88	Um_120_USMA_PopGen_GD	94	0.936170212765957
1	112001	113000	91	Um_120_USMA_PopGen_GD	94	0.968085106382979
1	113001	114000	100	Um_120_USMA_PopGen_GD	94	1.06382978723404
1	114001	115000	104	Um_120_USMA_PopGen_GD	94	1.1063829787234
1	115001	116000	100	Um_120_USMA_PopGen_GD	94	1.06382978723404
1	116001	117000	98	Um_120_USMA_PopGen_GD	94	1.04255319148936
1	117001	118000	96	Um_120_USMA_PopGen_GD	94	1.02127659574468
1	118001	119000	102	Um_120_USMA_PopGen_GD	94	1.08510638297872
1	119001	120000	97	Um_120_USMA_PopGen_GD	94	1.03191489361702
1	120001	121000	93	Um_120_USMA_PopGen_GD	94	0.98936170212766
1	121001	122000	100	Um_120_USMA_PopGen_GD	94	1.06382978723404
1	122001	123000	106	Um_120_USMA_PopGen_GD	94	1.12765957446809
1	123001	124000	92	Um_120_USMA_PopGen_GD	94	0.978723404255319
1	124001	125000	81	Um_120_USMA_PopGen_GD	94	0.861702127659574
1	125001	126000	92	Um_120_USMA_PopGen_GD	94	0.978723404255319
1	126001	127000	89	Um_120_USMA_PopGen_GD	94	0.946808510638298
1	127001	128000	100	Um_120_USMA_PopGen_GD	94	1.06382978723404
1	128001	129000	99	Um_120_USMA_PopGen_GD	94	1.0531914893617
1	129001	130000	83	Um_120_USMA_PopGen_GD	94	0.882978723404255
1	130001	131000	97	Um_120_USMA_PopGen_GD	94	1.03191489361702
1	131001	132000	94	Um_120_USMA_PopGen_GD	94	1
1	132001	133000	88	Um_120_USMA_PopGen_GD	94	0.936170212765957
1	133001	134000	98	Um_120_USMA_PopGen_GD	94	1.04255319148936
1	134001	135000	105	Um_120_USMA_PopGen_GD	94	1.11702127659574
1	135001	136000	91	Um_120_USMA_PopGen_GD	94	0.968085106382979
1	136001	137000	89	Um_120_USMA_PopGen_GD	94	0.946808510638298
1	137001	138000	106	Um_120_USMA_PopGen_GD	94	1.12765957446809
1	138001	139000	107	Um_120_USMA_PopGen_GD	94	1.13829787234043
1	139001	140000	89	Um_120_USMA_PopGen_GD	94	0.946808510638298
1	140001	141000	90	Um_120_USMA_PopGen_GD	94	0.957446808510638
1	141001	142000	99	Um_120_USMA_PopGen_GD	94	1.0531914893617
1	142001	143000	97	Um_120_USMA_PopGen_GD	94	1.03191489361702
1	143001	144000	93	Um_120_USMA_PopGen_GD	94	0.98936170212766
1	144001	145000	86	Um_120_USMA_PopGen_GD	94	0.914893617021277
1	145001	146000	98	Um_120_USMA_PopGen_GD	94	1.04255319148936
1	146001	147000	93	Um_120_USMA_PopGen_GD	94	0.98936170212766
1	147001	148000	91	Um_120_USMA_PopGen_GD	94	0.968085106382979
1	148001	149000	90	Um_120_USMA_PopGen_GD	94	0.957446808510638
1	149001	150000	85	Um_120_USMA_PopGen_GD	94	0.904255319148936
1	150001	151000	98	Um_120_USMA_PopGen_GD	94	1.04255319148936
1	151001	152000	83	Um_120_USMA_PopGen_GD	94	0.882978723404255
1	152001	153000	98	Um_120_USMA_PopGen_GD	94	1.04255319148936
1	153001	154000	97	Um_120_USMA_PopGen_GD	94	1.03191489361702
1	154001	155000	102	Um_120_USMA_PopGen_GD	94	1.08510638297872
1	155001	156000	98	Um_120_USMA_PopGen_GD	94	1.04255319148936
1	156001	157000	94	Um_120_USMA_PopGen_GD	94	1
1	157001	158000	97	Um_120_USMA_PopGen_GD	94	1.03191489361702
1	158001	159000	103	Um_120_USMA_PopGen_GD	94	1.09574468085106
1	159001	160000	99	Um_120_USMA_PopGen_GD	94	1.0531914893617
1	160001	161000	109	Um_120_USMA_PopGen_GD	94	1.15957446808511
1	161001	162000	99	Um_120_USMA_PopGen_GD	94	1.0531914893617
1	162001	163000	101	Um_120_USMA_PopGen_GD	94	1.07446808510638
1	163001	164000	97	Um_120_USMA_PopGen_GD	94	1.03191489361702
1	164001	165000	104	Um_120_USMA_PopGen_GD	94	1.1063829787234
1	165001	166000	96	Um_120_USMA_PopGen_GD	94	1.02127659574468
1	166001	167000	103	Um_120_USMA_PopGen_GD	94	1.09574468085106
1	167001	168000	113	Um_120_USMA_PopGen_GD	94	1.20212765957447
1	168001	169000	107	Um_120_USMA_PopGen_GD	94	1.13829787234043
1	169001	170000	101	Um_120_USMA_PopGen_GD	94	1.07446808510638
1	170001	171000	81	Um_120_USMA_PopGen_GD	94	0.861702127659574
1	171001	172000	109	Um_120_USMA_PopGen_GD	94	1.15957446808511
1	172001	173000	96	Um_120_USMA_PopGen_GD	94	1.02127659574468
1	173001	174000	81	Um_120_USMA_PopGen_GD	94	0.861702127659574
1	174001	175000	85	Um_120_USMA_PopGen_GD	94	0.904255319148936
1	175001	176000	107	Um_120_USMA_PopGen_GD	94	1.13829787234043
1	176001	177000	100	Um_120_USMA_PopGen_GD	94	1.06382978723404
1	177001	178000	95	Um_120_USMA_PopGen_GD	94	1.01063829787234
1	178001	179000	97	Um_120_USMA_PopGen_GD	94	1.03191489361702
1	179001	180000	98	Um_120_USMA_PopGen_GD	94	1.04255319148936
1	180001	181000	91	Um_120_USMA_PopGen_GD	94	0.968085106382979
1	181001	182000	89	Um_120_USMA_PopGen_GD	94	0.946808510638298
1	182001	183000	98	Um_120_USMA_PopGen_GD	94	1.04255319148936
1	183001	184000	89	Um_120_USMA_PopGen_GD	94	0.946808510638298
1	184001	185000	97	Um_120_USMA_PopGen_GD	94	1.03191489361702
1	185001	186000	86	Um_120_USMA_PopGen_GD	94	0.914893617021277
1	186001	187000	95	Um_120_USMA_PopGen_GD	94	1.01063829787234
1	187001	188000	104	Um_120_USMA_PopGen_GD	94	1.1063829787234
1	188001	189000	100	Um_120_USMA_PopGen_GD	94	1.06382978723404
1	189001	190000	93	Um_120_USMA_PopGen_GD	94	0.98936170212766
1	190001	191000	99	Um_120_USMA_PopGen_GD	94	1.0531914893617
1	191001	192000	89.5	Um_120_USMA_PopGen_GD	94	0.952127659574468
1	192001	193000	97	Um_120_USMA_PopGen_GD	94	1.03191489361702
1	193001	194000	89	Um_120_USMA_PopGen_GD	94	0.946808510638298
1	194001	195000	98	Um_120_USMA_PopGen_GD	94	1.04255319148936
1	195001	196000	88	Um_120_USMA_PopGen_GD	94	0.936170212765957
1	196001	197000	98	Um_120_USMA_PopGen_GD	94	1.04255319148936
1	197001	198000	92	Um_120_USMA_PopGen_GD	94	0.978723404255319
1	198001	199000	89	Um_120_USMA_PopGen_GD	94	0.946808510638298
1	199001	200000	96	Um_120_USMA_PopGen_GD	94	1.02127659574468
1	200001	201000	84	Um_120_USMA_PopGen_GD	94	0.893617021276596
1	201001	202000	105	Um_120_USMA_PopGen_GD	94	1.11702127659574
1	202001	203000	101.5	Um_120_USMA_PopGen_GD	94	1.07978723404255
1	203001	204000	104	Um_120_USMA_PopGen_GD	94	1.1063829787234
1	204001	205000	93	Um_120_USMA_PopGen_GD	94	0.98936170212766
