Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	71.5	U_Toluca_USMA_PopGen_JYD	193	0.372395833333333
1	1001	2000	216	U_Toluca_USMA_PopGen_JYD	193	1.125
1	2001	3000	210	U_Toluca_USMA_PopGen_JYD	193	1.09375
1	3001	4000	208	U_Toluca_USMA_PopGen_JYD	193	1.08333333333333
1	4001	5000	201	U_Toluca_USMA_PopGen_JYD	193	1.046875
1	5001	6000	212	U_Toluca_USMA_PopGen_JYD	193	1.10416666666667
1	6001	7000	214	U_Toluca_USMA_PopGen_JYD	193	1.11458333333333
1	7001	8000	212	U_Toluca_USMA_PopGen_JYD	193	1.10416666666667
1	8001	9000	204	U_Toluca_USMA_PopGen_JYD	193	1.0625
1	9001	10000	0	U_Toluca_USMA_PopGen_JYD	193	0
1	10001	11000	178	U_Toluca_USMA_PopGen_JYD	193	0.927083333333333
1	11001	12000	174	U_Toluca_USMA_PopGen_JYD	193	0.90625
1	12001	13000	188	U_Toluca_USMA_PopGen_JYD	193	0.979166666666667
1	13001	14000	197	U_Toluca_USMA_PopGen_JYD	193	1.02604166666667
1	14001	15000	198	U_Toluca_USMA_PopGen_JYD	193	1.03125
1	15001	16000	204	U_Toluca_USMA_PopGen_JYD	193	1.0625
1	16001	17000	236	U_Toluca_USMA_PopGen_JYD	193	1.22916666666667
1	17001	18000	194	U_Toluca_USMA_PopGen_JYD	193	1.01041666666667
1	18001	19000	205.5	U_Toluca_USMA_PopGen_JYD	193	1.0703125
1	19001	20000	190	U_Toluca_USMA_PopGen_JYD	193	0.989583333333333
1	20001	21000	180	U_Toluca_USMA_PopGen_JYD	193	0.9375
1	21001	22000	178	U_Toluca_USMA_PopGen_JYD	193	0.927083333333333
1	22001	23000	186	U_Toluca_USMA_PopGen_JYD	193	0.96875
1	23001	24000	206	U_Toluca_USMA_PopGen_JYD	193	1.07291666666667
1	24001	25000	176	U_Toluca_USMA_PopGen_JYD	193	0.916666666666667
1	25001	26000	182.5	U_Toluca_USMA_PopGen_JYD	193	0.950520833333333
1	26001	27000	214	U_Toluca_USMA_PopGen_JYD	193	1.11458333333333
1	27001	28000	204	U_Toluca_USMA_PopGen_JYD	193	1.0625
1	28001	29000	210	U_Toluca_USMA_PopGen_JYD	193	1.09375
1	29001	30000	232	U_Toluca_USMA_PopGen_JYD	193	1.20833333333333
1	30001	31000	200	U_Toluca_USMA_PopGen_JYD	193	1.04166666666667
1	31001	32000	185	U_Toluca_USMA_PopGen_JYD	193	0.963541666666667
1	32001	33000	195	U_Toluca_USMA_PopGen_JYD	193	1.015625
1	33001	34000	186	U_Toluca_USMA_PopGen_JYD	193	0.96875
1	34001	35000	188	U_Toluca_USMA_PopGen_JYD	193	0.979166666666667
1	35001	36000	210	U_Toluca_USMA_PopGen_JYD	193	1.09375
1	36001	37000	203	U_Toluca_USMA_PopGen_JYD	193	1.05729166666667
1	37001	38000	202	U_Toluca_USMA_PopGen_JYD	193	1.05208333333333
1	38001	39000	199	U_Toluca_USMA_PopGen_JYD	193	1.03645833333333
1	39001	40000	162	U_Toluca_USMA_PopGen_JYD	193	0.84375
1	40001	41000	175	U_Toluca_USMA_PopGen_JYD	193	0.911458333333333
1	41001	42000	199	U_Toluca_USMA_PopGen_JYD	193	1.03645833333333
