Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	76.5	K_Pachuca_USMA_PopGen_JYD	204	0.376847290640394
1	1001	2000	212	K_Pachuca_USMA_PopGen_JYD	204	1.04433497536946
1	2001	3000	210	K_Pachuca_USMA_PopGen_JYD	204	1.03448275862069
1	3001	4000	212	K_Pachuca_USMA_PopGen_JYD	204	1.04433497536946
1	4001	5000	219	K_Pachuca_USMA_PopGen_JYD	204	1.07881773399015
1	5001	6000	225	K_Pachuca_USMA_PopGen_JYD	204	1.10837438423645
1	6001	7000	200	K_Pachuca_USMA_PopGen_JYD	204	0.985221674876847
1	7001	8000	189	K_Pachuca_USMA_PopGen_JYD	204	0.931034482758621
1	8001	9000	192	K_Pachuca_USMA_PopGen_JYD	204	0.945812807881773
1	9001	10000	0	K_Pachuca_USMA_PopGen_JYD	204	0
1	10001	11000	170	K_Pachuca_USMA_PopGen_JYD	204	0.83743842364532
1	11001	12000	182	K_Pachuca_USMA_PopGen_JYD	204	0.896551724137931
1	12001	13000	209	K_Pachuca_USMA_PopGen_JYD	204	1.02955665024631
1	13001	14000	211	K_Pachuca_USMA_PopGen_JYD	204	1.03940886699507
1	14001	15000	212	K_Pachuca_USMA_PopGen_JYD	204	1.04433497536946
1	15001	16000	214	K_Pachuca_USMA_PopGen_JYD	204	1.05418719211823
1	16001	17000	223	K_Pachuca_USMA_PopGen_JYD	204	1.09852216748768
1	17001	18000	199	K_Pachuca_USMA_PopGen_JYD	204	0.980295566502463
1	18001	19000	202	K_Pachuca_USMA_PopGen_JYD	204	0.995073891625616
1	19001	20000	202	K_Pachuca_USMA_PopGen_JYD	204	0.995073891625616
1	20001	21000	200	K_Pachuca_USMA_PopGen_JYD	204	0.985221674876847
1	21001	22000	188	K_Pachuca_USMA_PopGen_JYD	204	0.926108374384236
1	22001	23000	210	K_Pachuca_USMA_PopGen_JYD	204	1.03448275862069
1	23001	24000	209	K_Pachuca_USMA_PopGen_JYD	204	1.02955665024631
1	24001	25000	197	K_Pachuca_USMA_PopGen_JYD	204	0.970443349753695
1	25001	26000	196	K_Pachuca_USMA_PopGen_JYD	204	0.96551724137931
1	26001	27000	218	K_Pachuca_USMA_PopGen_JYD	204	1.07389162561576
1	27001	28000	213	K_Pachuca_USMA_PopGen_JYD	204	1.04926108374384
1	28001	29000	218	K_Pachuca_USMA_PopGen_JYD	204	1.07389162561576
1	29001	30000	225	K_Pachuca_USMA_PopGen_JYD	204	1.10837438423645
1	30001	31000	214	K_Pachuca_USMA_PopGen_JYD	204	1.05418719211823
1	31001	32000	201	K_Pachuca_USMA_PopGen_JYD	204	0.990147783251232
1	32001	33000	196	K_Pachuca_USMA_PopGen_JYD	204	0.96551724137931
1	33001	34000	203	K_Pachuca_USMA_PopGen_JYD	204	1
1	34001	35000	197	K_Pachuca_USMA_PopGen_JYD	204	0.970443349753695
1	35001	36000	220	K_Pachuca_USMA_PopGen_JYD	204	1.08374384236453
1	36001	37000	203	K_Pachuca_USMA_PopGen_JYD	204	1
1	37001	38000	204	K_Pachuca_USMA_PopGen_JYD	204	1.00492610837438
1	38001	39000	219	K_Pachuca_USMA_PopGen_JYD	204	1.07881773399015
1	39001	40000	177	K_Pachuca_USMA_PopGen_JYD	204	0.87192118226601
1	40001	41000	180	K_Pachuca_USMA_PopGen_JYD	204	0.886699507389163
1	41001	42000	205	K_Pachuca_USMA_PopGen_JYD	204	1.00985221674877
1	42001	43000	207	K_Pachuca_USMA_PopGen_JYD	204	1.01970443349754
1	43001	44000	205	K_Pachuca_USMA_PopGen_JYD	204	1.00985221674877
1	44001	45000	196	K_Pachuca_USMA_PopGen_JYD	204	0.96551724137931
1	45001	46000	202	K_Pachuca_USMA_PopGen_JYD	204	0.995073891625616
1	46001	47000	173	K_Pachuca_USMA_PopGen_JYD	204	0.852216748768473
1	47001	48000	190	K_Pachuca_USMA_PopGen_JYD	204	0.935960591133005
1	48001	49000	198	K_Pachuca_USMA_PopGen_JYD	204	0.975369458128079
1	49001	50000	194	K_Pachuca_USMA_PopGen_JYD	204	0.955665024630542
1	50001	51000	186	K_Pachuca_USMA_PopGen_JYD	204	0.916256157635468
1	51001	52000	221	K_Pachuca_USMA_PopGen_JYD	204	1.08866995073892
1	52001	53000	178.5	K_Pachuca_USMA_PopGen_JYD	204	0.879310344827586
1	53001	54000	213	K_Pachuca_USMA_PopGen_JYD	204	1.04926108374384
1	54001	55000	200	K_Pachuca_USMA_PopGen_JYD	204	0.985221674876847
1	55001	56000	215	K_Pachuca_USMA_PopGen_JYD	204	1.05911330049261
1	56001	57000	220	K_Pachuca_USMA_PopGen_JYD	204	1.08374384236453
1	57001	58000	221	K_Pachuca_USMA_PopGen_JYD	204	1.08866995073892
1	58001	59000	212	K_Pachuca_USMA_PopGen_JYD	204	1.04433497536946
1	59001	60000	213	K_Pachuca_USMA_PopGen_JYD	204	1.04926108374384
1	60001	61000	215	K_Pachuca_USMA_PopGen_JYD	204	1.05911330049261
1	61001	62000	193	K_Pachuca_USMA_PopGen_JYD	204	0.950738916256158
1	62001	63000	199	K_Pachuca_USMA_PopGen_JYD	204	0.980295566502463
1	63001	64000	202	K_Pachuca_USMA_PopGen_JYD	204	0.995073891625616
1	64001	65000	169	K_Pachuca_USMA_PopGen_JYD	204	0.832512315270936
1	65001	66000	191	K_Pachuca_USMA_PopGen_JYD	204	0.940886699507389
1	66001	67000	205	K_Pachuca_USMA_PopGen_JYD	204	1.00985221674877
1	67001	68000	196	K_Pachuca_USMA_PopGen_JYD	204	0.96551724137931
1	68001	69000	210	K_Pachuca_USMA_PopGen_JYD	204	1.03448275862069
1	69001	70000	207	K_Pachuca_USMA_PopGen_JYD	204	1.01970443349754
1	70001	71000	208	K_Pachuca_USMA_PopGen_JYD	204	1.02463054187192
1	71001	72000	220	K_Pachuca_USMA_PopGen_JYD	204	1.08374384236453
1	72001	73000	202	K_Pachuca_USMA_PopGen_JYD	204	0.995073891625616
1	73001	74000	228	K_Pachuca_USMA_PopGen_JYD	204	1.12315270935961
1	74001	75000	227	K_Pachuca_USMA_PopGen_JYD	204	1.11822660098522
1	75001	76000	206	K_Pachuca_USMA_PopGen_JYD	204	1.01477832512315
1	76001	77000	221	K_Pachuca_USMA_PopGen_JYD	204	1.08866995073892
1	77001	78000	206	K_Pachuca_USMA_PopGen_JYD	204	1.01477832512315
1	78001	79000	210	K_Pachuca_USMA_PopGen_JYD	204	1.03448275862069
1	79001	80000	173	K_Pachuca_USMA_PopGen_JYD	204	0.852216748768473
1	80001	81000	192	K_Pachuca_USMA_PopGen_JYD	204	0.945812807881773
1	81001	82000	213	K_Pachuca_USMA_PopGen_JYD	204	1.04926108374384
1	82001	83000	215	K_Pachuca_USMA_PopGen_JYD	204	1.05911330049261
1	83001	84000	192	K_Pachuca_USMA_PopGen_JYD	204	0.945812807881773
1	84001	85000	222.5	K_Pachuca_USMA_PopGen_JYD	204	1.09605911330049
1	85001	86000	188	K_Pachuca_USMA_PopGen_JYD	204	0.926108374384236
1	86001	87000	219	K_Pachuca_USMA_PopGen_JYD	204	1.07881773399015
1	87001	88000	193	K_Pachuca_USMA_PopGen_JYD	204	0.950738916256158
1	88001	89000	180	K_Pachuca_USMA_PopGen_JYD	204	0.886699507389163
1	89001	90000	206	K_Pachuca_USMA_PopGen_JYD	204	1.01477832512315
1	90001	91000	185	K_Pachuca_USMA_PopGen_JYD	204	0.911330049261084
1	91001	92000	191	K_Pachuca_USMA_PopGen_JYD	204	0.940886699507389
1	92001	93000	220	K_Pachuca_USMA_PopGen_JYD	204	1.08374384236453
1	93001	94000	178	K_Pachuca_USMA_PopGen_JYD	204	0.876847290640394
1	94001	95000	187.5	K_Pachuca_USMA_PopGen_JYD	204	0.923645320197044
1	95001	96000	197	K_Pachuca_USMA_PopGen_JYD	204	0.970443349753695
1	96001	97000	187	K_Pachuca_USMA_PopGen_JYD	204	0.921182266009852
1	97001	98000	187	K_Pachuca_USMA_PopGen_JYD	204	0.921182266009852
1	98001	99000	204	K_Pachuca_USMA_PopGen_JYD	204	1.00492610837438
1	99001	100000	197	K_Pachuca_USMA_PopGen_JYD	204	0.970443349753695
1	100001	101000	192	K_Pachuca_USMA_PopGen_JYD	204	0.945812807881773
1	101001	102000	194	K_Pachuca_USMA_PopGen_JYD	204	0.955665024630542
1	102001	103000	213	K_Pachuca_USMA_PopGen_JYD	204	1.04926108374384
1	103001	104000	232	K_Pachuca_USMA_PopGen_JYD	204	1.14285714285714
1	104001	105000	206	K_Pachuca_USMA_PopGen_JYD	204	1.01477832512315
1	105001	106000	197	K_Pachuca_USMA_PopGen_JYD	204	0.970443349753695
1	106001	107000	208	K_Pachuca_USMA_PopGen_JYD	204	1.02463054187192
1	107001	108000	180	K_Pachuca_USMA_PopGen_JYD	204	0.886699507389163
1	108001	109000	213	K_Pachuca_USMA_PopGen_JYD	204	1.04926108374384
1	109001	110000	197	K_Pachuca_USMA_PopGen_JYD	204	0.970443349753695
1	110001	111000	204	K_Pachuca_USMA_PopGen_JYD	204	1.00492610837438
1	111001	112000	195	K_Pachuca_USMA_PopGen_JYD	204	0.960591133004926
1	112001	113000	207	K_Pachuca_USMA_PopGen_JYD	204	1.01970443349754
1	113001	114000	193	K_Pachuca_USMA_PopGen_JYD	204	0.950738916256158
1	114001	115000	214	K_Pachuca_USMA_PopGen_JYD	204	1.05418719211823
1	115001	116000	199.5	K_Pachuca_USMA_PopGen_JYD	204	0.982758620689655
1	116001	117000	210	K_Pachuca_USMA_PopGen_JYD	204	1.03448275862069
1	117001	118000	188	K_Pachuca_USMA_PopGen_JYD	204	0.926108374384236
1	118001	119000	241	K_Pachuca_USMA_PopGen_JYD	204	1.1871921182266
1	119001	120000	207.5	K_Pachuca_USMA_PopGen_JYD	204	1.02216748768473
1	120001	121000	199	K_Pachuca_USMA_PopGen_JYD	204	0.980295566502463
1	121001	122000	210	K_Pachuca_USMA_PopGen_JYD	204	1.03448275862069
1	122001	123000	179	K_Pachuca_USMA_PopGen_JYD	204	0.881773399014778
1	123001	124000	210	K_Pachuca_USMA_PopGen_JYD	204	1.03448275862069
1	124001	125000	220	K_Pachuca_USMA_PopGen_JYD	204	1.08374384236453
1	125001	126000	204	K_Pachuca_USMA_PopGen_JYD	204	1.00492610837438
1	126001	127000	197	K_Pachuca_USMA_PopGen_JYD	204	0.970443349753695
1	127001	128000	206	K_Pachuca_USMA_PopGen_JYD	204	1.01477832512315
1	128001	129000	195	K_Pachuca_USMA_PopGen_JYD	204	0.960591133004926
1	129001	130000	206	K_Pachuca_USMA_PopGen_JYD	204	1.01477832512315
1	130001	131000	216	K_Pachuca_USMA_PopGen_JYD	204	1.064039408867
1	131001	132000	220	K_Pachuca_USMA_PopGen_JYD	204	1.08374384236453
1	132001	133000	215	K_Pachuca_USMA_PopGen_JYD	204	1.05911330049261
1	133001	134000	220	K_Pachuca_USMA_PopGen_JYD	204	1.08374384236453
1	134001	135000	186.5	K_Pachuca_USMA_PopGen_JYD	204	0.91871921182266
1	135001	136000	189	K_Pachuca_USMA_PopGen_JYD	204	0.931034482758621
1	136001	137000	211	K_Pachuca_USMA_PopGen_JYD	204	1.03940886699507
1	137001	138000	209	K_Pachuca_USMA_PopGen_JYD	204	1.02955665024631
1	138001	139000	221	K_Pachuca_USMA_PopGen_JYD	204	1.08866995073892
1	139001	140000	229	K_Pachuca_USMA_PopGen_JYD	204	1.12807881773399
1	140001	141000	212	K_Pachuca_USMA_PopGen_JYD	204	1.04433497536946
1	141001	142000	216	K_Pachuca_USMA_PopGen_JYD	204	1.064039408867
1	142001	143000	181	K_Pachuca_USMA_PopGen_JYD	204	0.891625615763547
1	143001	144000	193	K_Pachuca_USMA_PopGen_JYD	204	0.950738916256158
1	144001	145000	205	K_Pachuca_USMA_PopGen_JYD	204	1.00985221674877
1	145001	146000	204	K_Pachuca_USMA_PopGen_JYD	204	1.00492610837438
1	146001	147000	198	K_Pachuca_USMA_PopGen_JYD	204	0.975369458128079
1	147001	148000	210	K_Pachuca_USMA_PopGen_JYD	204	1.03448275862069
1	148001	149000	215	K_Pachuca_USMA_PopGen_JYD	204	1.05911330049261
1	149001	150000	203	K_Pachuca_USMA_PopGen_JYD	204	1
1	150001	151000	198	K_Pachuca_USMA_PopGen_JYD	204	0.975369458128079
1	151001	152000	206	K_Pachuca_USMA_PopGen_JYD	204	1.01477832512315
1	152001	153000	210	K_Pachuca_USMA_PopGen_JYD	204	1.03448275862069
1	153001	154000	199	K_Pachuca_USMA_PopGen_JYD	204	0.980295566502463
1	154001	155000	186	K_Pachuca_USMA_PopGen_JYD	204	0.916256157635468
1	155001	156000	211	K_Pachuca_USMA_PopGen_JYD	204	1.03940886699507
1	156001	157000	230	K_Pachuca_USMA_PopGen_JYD	204	1.13300492610837
1	157001	158000	174	K_Pachuca_USMA_PopGen_JYD	204	0.857142857142857
1	158001	159000	216	K_Pachuca_USMA_PopGen_JYD	204	1.064039408867
1	159001	160000	208	K_Pachuca_USMA_PopGen_JYD	204	1.02463054187192
1	160001	161000	199	K_Pachuca_USMA_PopGen_JYD	204	0.980295566502463
1	161001	162000	223	K_Pachuca_USMA_PopGen_JYD	204	1.09852216748768
1	162001	163000	218	K_Pachuca_USMA_PopGen_JYD	204	1.07389162561576
1	163001	164000	203	K_Pachuca_USMA_PopGen_JYD	204	1
1	164001	165000	209	K_Pachuca_USMA_PopGen_JYD	204	1.02955665024631
1	165001	166000	192	K_Pachuca_USMA_PopGen_JYD	204	0.945812807881773
1	166001	167000	173	K_Pachuca_USMA_PopGen_JYD	204	0.852216748768473
1	167001	168000	191	K_Pachuca_USMA_PopGen_JYD	204	0.940886699507389
1	168001	169000	198	K_Pachuca_USMA_PopGen_JYD	204	0.975369458128079
1	169001	170000	210	K_Pachuca_USMA_PopGen_JYD	204	1.03448275862069
1	170001	171000	200	K_Pachuca_USMA_PopGen_JYD	204	0.985221674876847
1	171001	172000	196	K_Pachuca_USMA_PopGen_JYD	204	0.96551724137931
1	172001	173000	199	K_Pachuca_USMA_PopGen_JYD	204	0.980295566502463
1	173001	174000	186	K_Pachuca_USMA_PopGen_JYD	204	0.916256157635468
1	174001	175000	188	K_Pachuca_USMA_PopGen_JYD	204	0.926108374384236
1	175001	176000	183	K_Pachuca_USMA_PopGen_JYD	204	0.901477832512315
1	176001	177000	208	K_Pachuca_USMA_PopGen_JYD	204	1.02463054187192
1	177001	178000	203	K_Pachuca_USMA_PopGen_JYD	204	1
1	178001	179000	203	K_Pachuca_USMA_PopGen_JYD	204	1
1	179001	180000	206	K_Pachuca_USMA_PopGen_JYD	204	1.01477832512315
1	180001	181000	205	K_Pachuca_USMA_PopGen_JYD	204	1.00985221674877
1	181001	182000	211	K_Pachuca_USMA_PopGen_JYD	204	1.03940886699507
1	182001	183000	196	K_Pachuca_USMA_PopGen_JYD	204	0.96551724137931
1	183001	184000	206	K_Pachuca_USMA_PopGen_JYD	204	1.01477832512315
1	184001	185000	198	K_Pachuca_USMA_PopGen_JYD	204	0.975369458128079
1	185001	186000	180	K_Pachuca_USMA_PopGen_JYD	204	0.886699507389163
1	186001	187000	168	K_Pachuca_USMA_PopGen_JYD	204	0.827586206896552
1	187001	188000	194	K_Pachuca_USMA_PopGen_JYD	204	0.955665024630542
1	188001	189000	221	K_Pachuca_USMA_PopGen_JYD	204	1.08866995073892
1	189001	190000	209	K_Pachuca_USMA_PopGen_JYD	204	1.02955665024631
1	190001	191000	192	K_Pachuca_USMA_PopGen_JYD	204	0.945812807881773
1	191001	192000	211	K_Pachuca_USMA_PopGen_JYD	204	1.03940886699507
1	192001	193000	208	K_Pachuca_USMA_PopGen_JYD	204	1.02463054187192
1	193001	194000	213	K_Pachuca_USMA_PopGen_JYD	204	1.04926108374384
1	194001	195000	207	K_Pachuca_USMA_PopGen_JYD	204	1.01970443349754
1	195001	196000	199.5	K_Pachuca_USMA_PopGen_JYD	204	0.982758620689655
1	196001	197000	200	K_Pachuca_USMA_PopGen_JYD	204	0.985221674876847
1	197001	198000	195	K_Pachuca_USMA_PopGen_JYD	204	0.960591133004926
1	198001	199000	191	K_Pachuca_USMA_PopGen_JYD	204	0.940886699507389
1	199001	200000	190	K_Pachuca_USMA_PopGen_JYD	204	0.935960591133005
1	200001	201000	211	K_Pachuca_USMA_PopGen_JYD	204	1.03940886699507
1	201001	202000	195	K_Pachuca_USMA_PopGen_JYD	204	0.960591133004926
1	202001	203000	188.5	K_Pachuca_USMA_PopGen_JYD	204	0.928571428571429
1	203001	204000	218	K_Pachuca_USMA_PopGen_JYD	204	1.07389162561576
1	204001	205000	197	K_Pachuca_USMA_PopGen_JYD	204	0.970443349753695
1	205001	206000	204	K_Pachuca_USMA_PopGen_JYD	204	1.00492610837438
1	206001	207000	220	K_Pachuca_USMA_PopGen_JYD	204	1.08374384236453
1	207001	208000	215.5	K_Pachuca_USMA_PopGen_JYD	204	1.0615763546798
1	208001	209000	185	K_Pachuca_USMA_PopGen_JYD	204	0.911330049261084
1	209001	210000	207	K_Pachuca_USMA_PopGen_JYD	204	1.01970443349754
1	210001	211000	174	K_Pachuca_USMA_PopGen_JYD	204	0.857142857142857
1	211001	212000	213	K_Pachuca_USMA_PopGen_JYD	204	1.04926108374384
1	212001	213000	211	K_Pachuca_USMA_PopGen_JYD	204	1.03940886699507
1	213001	214000	190	K_Pachuca_USMA_PopGen_JYD	204	0.935960591133005
1	214001	215000	211	K_Pachuca_USMA_PopGen_JYD	204	1.03940886699507
1	215001	216000	206	K_Pachuca_USMA_PopGen_JYD	204	1.01477832512315
1	216001	217000	213	K_Pachuca_USMA_PopGen_JYD	204	1.04926108374384
1	217001	218000	199	K_Pachuca_USMA_PopGen_JYD	204	0.980295566502463
1	218001	219000	196	K_Pachuca_USMA_PopGen_JYD	204	0.96551724137931
1	219001	220000	220	K_Pachuca_USMA_PopGen_JYD	204	1.08374384236453
1	220001	221000	188	K_Pachuca_USMA_PopGen_JYD	204	0.926108374384236
1	221001	222000	209.5	K_Pachuca_USMA_PopGen_JYD	204	1.0320197044335
1	222001	223000	187	K_Pachuca_USMA_PopGen_JYD	204	0.921182266009852
1	223001	224000	213	K_Pachuca_USMA_PopGen_JYD	204	1.04926108374384
1	224001	225000	188	K_Pachuca_USMA_PopGen_JYD	204	0.926108374384236
1	225001	226000	193	K_Pachuca_USMA_PopGen_JYD	204	0.950738916256158
1	226001	227000	190	K_Pachuca_USMA_PopGen_JYD	204	0.935960591133005
1	227001	228000	200	K_Pachuca_USMA_PopGen_JYD	204	0.985221674876847
1	228001	229000	209	K_Pachuca_USMA_PopGen_JYD	204	1.02955665024631
1	229001	230000	211	K_Pachuca_USMA_PopGen_JYD	204	1.03940886699507
1	230001	231000	211	K_Pachuca_USMA_PopGen_JYD	204	1.03940886699507
1	231001	232000	242	K_Pachuca_USMA_PopGen_JYD	204	1.19211822660099
1	232001	233000	234	K_Pachuca_USMA_PopGen_JYD	204	1.15270935960591
1	233001	234000	229	K_Pachuca_USMA_PopGen_JYD	204	1.12807881773399
1	234001	235000	230	K_Pachuca_USMA_PopGen_JYD	204	1.13300492610837
1	235001	236000	224.5	K_Pachuca_USMA_PopGen_JYD	204	1.10591133004926
1	236001	237000	205	K_Pachuca_USMA_PopGen_JYD	204	1.00985221674877
1	237001	238000	208	K_Pachuca_USMA_PopGen_JYD	204	1.02463054187192
1	238001	239000	208	K_Pachuca_USMA_PopGen_JYD	204	1.02463054187192
1	239001	240000	208	K_Pachuca_USMA_PopGen_JYD	204	1.02463054187192
1	240001	241000	211	K_Pachuca_USMA_PopGen_JYD	204	1.03940886699507
1	241001	242000	197	K_Pachuca_USMA_PopGen_JYD	204	0.970443349753695
1	242001	243000	197	K_Pachuca_USMA_PopGen_JYD	204	0.970443349753695
1	243001	244000	201	K_Pachuca_USMA_PopGen_JYD	204	0.990147783251232
1	244001	245000	195	K_Pachuca_USMA_PopGen_JYD	204	0.960591133004926
1	245001	246000	210	K_Pachuca_USMA_PopGen_JYD	204	1.03448275862069
1	246001	247000	204	K_Pachuca_USMA_PopGen_JYD	204	1.00492610837438
1	247001	248000	228.5	K_Pachuca_USMA_PopGen_JYD	204	1.1256157635468
1	248001	249000	202	K_Pachuca_USMA_PopGen_JYD	204	0.995073891625616
1	249001	250000	230	K_Pachuca_USMA_PopGen_JYD	204	1.13300492610837
1	250001	251000	229	K_Pachuca_USMA_PopGen_JYD	204	1.12807881773399
1	251001	252000	222	K_Pachuca_USMA_PopGen_JYD	204	1.0935960591133
1	252001	253000	197	K_Pachuca_USMA_PopGen_JYD	204	0.970443349753695
1	253001	254000	208	K_Pachuca_USMA_PopGen_JYD	204	1.02463054187192
1	254001	255000	190	K_Pachuca_USMA_PopGen_JYD	204	0.935960591133005
1	255001	256000	209	K_Pachuca_USMA_PopGen_JYD	204	1.02955665024631
1	256001	257000	211	K_Pachuca_USMA_PopGen_JYD	204	1.03940886699507
1	257001	258000	241	K_Pachuca_USMA_PopGen_JYD	204	1.1871921182266
1	258001	259000	189	K_Pachuca_USMA_PopGen_JYD	204	0.931034482758621
1	259001	260000	215	K_Pachuca_USMA_PopGen_JYD	204	1.05911330049261
1	260001	261000	197	K_Pachuca_USMA_PopGen_JYD	204	0.970443349753695
1	261001	262000	208	K_Pachuca_USMA_PopGen_JYD	204	1.02463054187192
1	262001	263000	211	K_Pachuca_USMA_PopGen_JYD	204	1.03940886699507
1	263001	264000	213	K_Pachuca_USMA_PopGen_JYD	204	1.04926108374384
1	264001	265000	215	K_Pachuca_USMA_PopGen_JYD	204	1.05911330049261
1	265001	266000	200	K_Pachuca_USMA_PopGen_JYD	204	0.985221674876847
1	266001	267000	214	K_Pachuca_USMA_PopGen_JYD	204	1.05418719211823
1	267001	268000	204	K_Pachuca_USMA_PopGen_JYD	204	1.00492610837438
1	268001	269000	218	K_Pachuca_USMA_PopGen_JYD	204	1.07389162561576
1	269001	270000	210	K_Pachuca_USMA_PopGen_JYD	204	1.03448275862069
1	270001	271000	201	K_Pachuca_USMA_PopGen_JYD	204	0.990147783251232
1	271001	272000	188	K_Pachuca_USMA_PopGen_JYD	204	0.926108374384236
1	272001	273000	201	K_Pachuca_USMA_PopGen_JYD	204	0.990147783251232
1	273001	274000	206	K_Pachuca_USMA_PopGen_JYD	204	1.01477832512315
1	274001	275000	197	K_Pachuca_USMA_PopGen_JYD	204	0.970443349753695
1	275001	276000	214	K_Pachuca_USMA_PopGen_JYD	204	1.05418719211823
1	276001	277000	225	K_Pachuca_USMA_PopGen_JYD	204	1.10837438423645
1	277001	278000	205	K_Pachuca_USMA_PopGen_JYD	204	1.00985221674877
1	278001	279000	213	K_Pachuca_USMA_PopGen_JYD	204	1.04926108374384
1	279001	280000	207	K_Pachuca_USMA_PopGen_JYD	204	1.01970443349754
1	280001	281000	196	K_Pachuca_USMA_PopGen_JYD	204	0.96551724137931
1	281001	282000	193	K_Pachuca_USMA_PopGen_JYD	204	0.950738916256158
1	282001	283000	198	K_Pachuca_USMA_PopGen_JYD	204	0.975369458128079
1	283001	284000	214	K_Pachuca_USMA_PopGen_JYD	204	1.05418719211823
1	284001	285000	196	K_Pachuca_USMA_PopGen_JYD	204	0.96551724137931
1	285001	286000	211	K_Pachuca_USMA_PopGen_JYD	204	1.03940886699507
1	286001	287000	192	K_Pachuca_USMA_PopGen_JYD	204	0.945812807881773
1	287001	288000	203	K_Pachuca_USMA_PopGen_JYD	204	1
1	288001	289000	220.5	K_Pachuca_USMA_PopGen_JYD	204	1.08620689655172
1	289001	290000	181	K_Pachuca_USMA_PopGen_JYD	204	0.891625615763547
1	290001	291000	210	K_Pachuca_USMA_PopGen_JYD	204	1.03448275862069
1	291001	292000	207	K_Pachuca_USMA_PopGen_JYD	204	1.01970443349754
1	292001	293000	203	K_Pachuca_USMA_PopGen_JYD	204	1
1	293001	294000	171	K_Pachuca_USMA_PopGen_JYD	204	0.842364532019704
1	294001	295000	192	K_Pachuca_USMA_PopGen_JYD	204	0.945812807881773
1	295001	296000	214	K_Pachuca_USMA_PopGen_JYD	204	1.05418719211823
1	296001	297000	212	K_Pachuca_USMA_PopGen_JYD	204	1.04433497536946
1	297001	298000	197	K_Pachuca_USMA_PopGen_JYD	204	0.970443349753695
1	298001	299000	231	K_Pachuca_USMA_PopGen_JYD	204	1.13793103448276
1	299001	300000	203	K_Pachuca_USMA_PopGen_JYD	204	1
1	300001	301000	210	K_Pachuca_USMA_PopGen_JYD	204	1.03448275862069
1	301001	302000	198	K_Pachuca_USMA_PopGen_JYD	204	0.975369458128079
1	302001	303000	203	K_Pachuca_USMA_PopGen_JYD	204	1
1	303001	304000	191	K_Pachuca_USMA_PopGen_JYD	204	0.940886699507389
1	304001	305000	196	K_Pachuca_USMA_PopGen_JYD	204	0.96551724137931
1	305001	306000	231.5	K_Pachuca_USMA_PopGen_JYD	204	1.14039408866995
1	306001	307000	194	K_Pachuca_USMA_PopGen_JYD	204	0.955665024630542
1	307001	308000	197	K_Pachuca_USMA_PopGen_JYD	204	0.970443349753695
1	308001	309000	247	K_Pachuca_USMA_PopGen_JYD	204	1.21674876847291
1	309001	310000	183.5	K_Pachuca_USMA_PopGen_JYD	204	0.903940886699507
1	310001	311000	190	K_Pachuca_USMA_PopGen_JYD	204	0.935960591133005
1	311001	312000	210.5	K_Pachuca_USMA_PopGen_JYD	204	1.03694581280788
1	312001	313000	220	K_Pachuca_USMA_PopGen_JYD	204	1.08374384236453
1	313001	314000	206	K_Pachuca_USMA_PopGen_JYD	204	1.01477832512315
1	314001	315000	236.5	K_Pachuca_USMA_PopGen_JYD	204	1.16502463054187
1	315001	316000	202	K_Pachuca_USMA_PopGen_JYD	204	0.995073891625616
1	316001	317000	200	K_Pachuca_USMA_PopGen_JYD	204	0.985221674876847
1	317001	318000	234	K_Pachuca_USMA_PopGen_JYD	204	1.15270935960591
1	318001	319000	228	K_Pachuca_USMA_PopGen_JYD	204	1.12315270935961
1	319001	320000	212	K_Pachuca_USMA_PopGen_JYD	204	1.04433497536946
1	320001	321000	217	K_Pachuca_USMA_PopGen_JYD	204	1.06896551724138
1	321001	322000	240	K_Pachuca_USMA_PopGen_JYD	204	1.18226600985222
1	322001	323000	236	K_Pachuca_USMA_PopGen_JYD	204	1.16256157635468
1	323001	324000	210	K_Pachuca_USMA_PopGen_JYD	204	1.03448275862069
1	324001	325000	205	K_Pachuca_USMA_PopGen_JYD	204	1.00985221674877
1	325001	326000	210	K_Pachuca_USMA_PopGen_JYD	204	1.03448275862069
1	326001	327000	195	K_Pachuca_USMA_PopGen_JYD	204	0.960591133004926
1	327001	328000	201	K_Pachuca_USMA_PopGen_JYD	204	0.990147783251232
1	328001	329000	225	K_Pachuca_USMA_PopGen_JYD	204	1.10837438423645
1	329001	330000	224	K_Pachuca_USMA_PopGen_JYD	204	1.10344827586207
1	330001	331000	203	K_Pachuca_USMA_PopGen_JYD	204	1
1	331001	332000	218	K_Pachuca_USMA_PopGen_JYD	204	1.07389162561576
1	332001	333000	213	K_Pachuca_USMA_PopGen_JYD	204	1.04926108374384
1	333001	334000	206	K_Pachuca_USMA_PopGen_JYD	204	1.01477832512315
