Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	95	B_Irapuato_USMA_PopGen_JYD	295	0.322033898305085
1	1001	2000	319.5	B_Irapuato_USMA_PopGen_JYD	295	1.08305084745763
1	2001	3000	329	B_Irapuato_USMA_PopGen_JYD	295	1.11525423728814
1	3001	4000	290	B_Irapuato_USMA_PopGen_JYD	295	0.983050847457627
1	4001	5000	306	B_Irapuato_USMA_PopGen_JYD	295	1.03728813559322
1	5001	6000	339	B_Irapuato_USMA_PopGen_JYD	295	1.14915254237288
1	6001	7000	304	B_Irapuato_USMA_PopGen_JYD	295	1.03050847457627
1	7001	8000	295	B_Irapuato_USMA_PopGen_JYD	295	1
1	8001	9000	308.5	B_Irapuato_USMA_PopGen_JYD	295	1.04576271186441
1	9001	10000	0	B_Irapuato_USMA_PopGen_JYD	295	0
1	10001	11000	279	B_Irapuato_USMA_PopGen_JYD	295	0.945762711864407
1	11001	12000	260.5	B_Irapuato_USMA_PopGen_JYD	295	0.883050847457627
1	12001	13000	291	B_Irapuato_USMA_PopGen_JYD	295	0.986440677966102
1	13001	14000	295	B_Irapuato_USMA_PopGen_JYD	295	1
1	14001	15000	303	B_Irapuato_USMA_PopGen_JYD	295	1.0271186440678
1	15001	16000	310	B_Irapuato_USMA_PopGen_JYD	295	1.05084745762712
1	16001	17000	339	B_Irapuato_USMA_PopGen_JYD	295	1.14915254237288
1	17001	18000	296	B_Irapuato_USMA_PopGen_JYD	295	1.00338983050847
1	18001	19000	324	B_Irapuato_USMA_PopGen_JYD	295	1.09830508474576
1	19001	20000	323	B_Irapuato_USMA_PopGen_JYD	295	1.09491525423729
1	20001	21000	280	B_Irapuato_USMA_PopGen_JYD	295	0.949152542372881
1	21001	22000	299	B_Irapuato_USMA_PopGen_JYD	295	1.0135593220339
1	22001	23000	323	B_Irapuato_USMA_PopGen_JYD	295	1.09491525423729
1	23001	24000	304.5	B_Irapuato_USMA_PopGen_JYD	295	1.03220338983051
1	24001	25000	266.5	B_Irapuato_USMA_PopGen_JYD	295	0.903389830508475
1	25001	26000	310.5	B_Irapuato_USMA_PopGen_JYD	295	1.05254237288136
1	26001	27000	317	B_Irapuato_USMA_PopGen_JYD	295	1.07457627118644
1	27001	28000	314	B_Irapuato_USMA_PopGen_JYD	295	1.06440677966102
