Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	70.5	N_Pachuca_USMA_PopGen_JYD	217	0.326388888888889
1	1001	2000	221	N_Pachuca_USMA_PopGen_JYD	217	1.02314814814815
1	2001	3000	239	N_Pachuca_USMA_PopGen_JYD	217	1.10648148148148
1	3001	4000	219	N_Pachuca_USMA_PopGen_JYD	217	1.01388888888889
1	4001	5000	229	N_Pachuca_USMA_PopGen_JYD	217	1.06018518518519
1	5001	6000	246.5	N_Pachuca_USMA_PopGen_JYD	217	1.1412037037037
1	6001	7000	226	N_Pachuca_USMA_PopGen_JYD	217	1.0462962962963
1	7001	8000	209	N_Pachuca_USMA_PopGen_JYD	217	0.967592592592593
1	8001	9000	214	N_Pachuca_USMA_PopGen_JYD	217	0.990740740740741
1	9001	10000	0	N_Pachuca_USMA_PopGen_JYD	217	0
1	10001	11000	193	N_Pachuca_USMA_PopGen_JYD	217	0.893518518518518
1	11001	12000	194.5	N_Pachuca_USMA_PopGen_JYD	217	0.900462962962963
1	12001	13000	208	N_Pachuca_USMA_PopGen_JYD	217	0.962962962962963
1	13001	14000	208	N_Pachuca_USMA_PopGen_JYD	217	0.962962962962963
1	14001	15000	218	N_Pachuca_USMA_PopGen_JYD	217	1.00925925925926
1	15001	16000	232	N_Pachuca_USMA_PopGen_JYD	217	1.07407407407407
1	16001	17000	237.5	N_Pachuca_USMA_PopGen_JYD	217	1.09953703703704
1	17001	18000	229	N_Pachuca_USMA_PopGen_JYD	217	1.06018518518519
1	18001	19000	206	N_Pachuca_USMA_PopGen_JYD	217	0.953703703703704
1	19001	20000	224	N_Pachuca_USMA_PopGen_JYD	217	1.03703703703704
1	20001	21000	219	N_Pachuca_USMA_PopGen_JYD	217	1.01388888888889
1	21001	22000	213	N_Pachuca_USMA_PopGen_JYD	217	0.986111111111111
1	22001	23000	211	N_Pachuca_USMA_PopGen_JYD	217	0.976851851851852
1	23001	24000	212	N_Pachuca_USMA_PopGen_JYD	217	0.981481481481482
1	24001	25000	223	N_Pachuca_USMA_PopGen_JYD	217	1.03240740740741
1	25001	26000	200	N_Pachuca_USMA_PopGen_JYD	217	0.925925925925926
1	26001	27000	247	N_Pachuca_USMA_PopGen_JYD	217	1.14351851851852
1	27001	28000	234	N_Pachuca_USMA_PopGen_JYD	217	1.08333333333333
1	28001	29000	224	N_Pachuca_USMA_PopGen_JYD	217	1.03703703703704
1	29001	30000	243	N_Pachuca_USMA_PopGen_JYD	217	1.125
1	30001	31000	231	N_Pachuca_USMA_PopGen_JYD	217	1.06944444444444
1	31001	32000	209	N_Pachuca_USMA_PopGen_JYD	217	0.967592592592593
1	32001	33000	200	N_Pachuca_USMA_PopGen_JYD	217	0.925925925925926
1	33001	34000	204.5	N_Pachuca_USMA_PopGen_JYD	217	0.946759259259259
1	34001	35000	216	N_Pachuca_USMA_PopGen_JYD	217	1
