Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	0	H_Oaxaca_USMA_PopGen_JYD	26	0
1	1001	2000	26	H_Oaxaca_USMA_PopGen_JYD	26	1.08333333333333
1	2001	3000	32	H_Oaxaca_USMA_PopGen_JYD	26	1.33333333333333
1	3001	4000	20	H_Oaxaca_USMA_PopGen_JYD	26	0.833333333333333
1	4001	5000	28	H_Oaxaca_USMA_PopGen_JYD	26	1.16666666666667
1	5001	6000	30	H_Oaxaca_USMA_PopGen_JYD	26	1.25
1	6001	7000	28	H_Oaxaca_USMA_PopGen_JYD	26	1.16666666666667
1	7001	8000	24	H_Oaxaca_USMA_PopGen_JYD	26	1
1	8001	9000	22	H_Oaxaca_USMA_PopGen_JYD	26	0.916666666666667
1	9001	10000	0	H_Oaxaca_USMA_PopGen_JYD	26	0
1	10001	11000	16	H_Oaxaca_USMA_PopGen_JYD	26	0.666666666666667
1	11001	12000	20	H_Oaxaca_USMA_PopGen_JYD	26	0.833333333333333
1	12001	13000	24	H_Oaxaca_USMA_PopGen_JYD	26	1
1	13001	14000	22	H_Oaxaca_USMA_PopGen_JYD	26	0.916666666666667
1	14001	15000	26	H_Oaxaca_USMA_PopGen_JYD	26	1.08333333333333
1	15001	16000	24	H_Oaxaca_USMA_PopGen_JYD	26	1
1	16001	17000	32	H_Oaxaca_USMA_PopGen_JYD	26	1.33333333333333
1	17001	18000	22	H_Oaxaca_USMA_PopGen_JYD	26	0.916666666666667
1	18001	19000	20	H_Oaxaca_USMA_PopGen_JYD	26	0.833333333333333
1	19001	20000	28	H_Oaxaca_USMA_PopGen_JYD	26	1.16666666666667
1	20001	21000	24	H_Oaxaca_USMA_PopGen_JYD	26	1
1	21001	22000	24	H_Oaxaca_USMA_PopGen_JYD	26	1
1	22001	23000	18	H_Oaxaca_USMA_PopGen_JYD	26	0.75
1	23001	24000	24	H_Oaxaca_USMA_PopGen_JYD	26	1
1	24001	25000	26	H_Oaxaca_USMA_PopGen_JYD	26	1.08333333333333
1	25001	26000	24	H_Oaxaca_USMA_PopGen_JYD	26	1
1	26001	27000	30	H_Oaxaca_USMA_PopGen_JYD	26	1.25
1	27001	28000	28	H_Oaxaca_USMA_PopGen_JYD	26	1.16666666666667
1	28001	29000	24	H_Oaxaca_USMA_PopGen_JYD	26	1
1	29001	30000	32	H_Oaxaca_USMA_PopGen_JYD	26	1.33333333333333
1	30001	31000	30	H_Oaxaca_USMA_PopGen_JYD	26	1.25
1	31001	32000	20	H_Oaxaca_USMA_PopGen_JYD	26	0.833333333333333
1	32001	33000	20	H_Oaxaca_USMA_PopGen_JYD	26	0.833333333333333
1	33001	34000	26	H_Oaxaca_USMA_PopGen_JYD	26	1.08333333333333
1	34001	35000	20	H_Oaxaca_USMA_PopGen_JYD	26	0.833333333333333
1	35001	36000	24	H_Oaxaca_USMA_PopGen_JYD	26	1
1	36001	37000	26	H_Oaxaca_USMA_PopGen_JYD	26	1.08333333333333
1	37001	38000	28	H_Oaxaca_USMA_PopGen_JYD	26	1.16666666666667
1	38001	39000	34	H_Oaxaca_USMA_PopGen_JYD	26	1.41666666666667
1	39001	40000	20	H_Oaxaca_USMA_PopGen_JYD	26	0.833333333333333
1	40001	41000	22	H_Oaxaca_USMA_PopGen_JYD	26	0.916666666666667
1	41001	42000	24	H_Oaxaca_USMA_PopGen_JYD	26	1
1	42001	43000	32	H_Oaxaca_USMA_PopGen_JYD	26	1.33333333333333
1	43001	44000	24	H_Oaxaca_USMA_PopGen_JYD	26	1
1	44001	45000	26	H_Oaxaca_USMA_PopGen_JYD	26	1.08333333333333
1	45001	46000	28	H_Oaxaca_USMA_PopGen_JYD	26	1.16666666666667
1	46001	47000	22	H_Oaxaca_USMA_PopGen_JYD	26	0.916666666666667
1	47001	48000	22	H_Oaxaca_USMA_PopGen_JYD	26	0.916666666666667
1	48001	49000	22	H_Oaxaca_USMA_PopGen_JYD	26	0.916666666666667
