Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	8	V_Toluca_USMA_PopGen_JYD	33	0.25
1	1001	2000	37	V_Toluca_USMA_PopGen_JYD	33	1.15625
1	2001	3000	40	V_Toluca_USMA_PopGen_JYD	33	1.25
1	3001	4000	37	V_Toluca_USMA_PopGen_JYD	33	1.15625
1	4001	5000	34	V_Toluca_USMA_PopGen_JYD	33	1.0625
1	5001	6000	31	V_Toluca_USMA_PopGen_JYD	33	0.96875
1	6001	7000	32	V_Toluca_USMA_PopGen_JYD	33	1
1	7001	8000	37	V_Toluca_USMA_PopGen_JYD	33	1.15625
1	8001	9000	34	V_Toluca_USMA_PopGen_JYD	33	1.0625
1	9001	10000	0	V_Toluca_USMA_PopGen_JYD	33	0
1	10001	11000	29	V_Toluca_USMA_PopGen_JYD	33	0.90625
1	11001	12000	26	V_Toluca_USMA_PopGen_JYD	33	0.8125
1	12001	13000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	13001	14000	35	V_Toluca_USMA_PopGen_JYD	33	1.09375
1	14001	15000	38	V_Toluca_USMA_PopGen_JYD	33	1.1875
1	15001	16000	34	V_Toluca_USMA_PopGen_JYD	33	1.0625
1	16001	17000	39	V_Toluca_USMA_PopGen_JYD	33	1.21875
1	17001	18000	38	V_Toluca_USMA_PopGen_JYD	33	1.1875
1	18001	19000	35	V_Toluca_USMA_PopGen_JYD	33	1.09375
1	19001	20000	36	V_Toluca_USMA_PopGen_JYD	33	1.125
1	20001	21000	34	V_Toluca_USMA_PopGen_JYD	33	1.0625
1	21001	22000	29	V_Toluca_USMA_PopGen_JYD	33	0.90625
1	22001	23000	31	V_Toluca_USMA_PopGen_JYD	33	0.96875
1	23001	24000	36	V_Toluca_USMA_PopGen_JYD	33	1.125
1	24001	25000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	25001	26000	36	V_Toluca_USMA_PopGen_JYD	33	1.125
1	26001	27000	38	V_Toluca_USMA_PopGen_JYD	33	1.1875
1	27001	28000	29	V_Toluca_USMA_PopGen_JYD	33	0.90625
1	28001	29000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	29001	30000	39	V_Toluca_USMA_PopGen_JYD	33	1.21875
1	30001	31000	39	V_Toluca_USMA_PopGen_JYD	33	1.21875
1	31001	32000	23	V_Toluca_USMA_PopGen_JYD	33	0.71875
1	32001	33000	27	V_Toluca_USMA_PopGen_JYD	33	0.84375
1	33001	34000	32	V_Toluca_USMA_PopGen_JYD	33	1
1	34001	35000	27	V_Toluca_USMA_PopGen_JYD	33	0.84375
1	35001	36000	35	V_Toluca_USMA_PopGen_JYD	33	1.09375
1	36001	37000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	37001	38000	32.5	V_Toluca_USMA_PopGen_JYD	33	1.015625
1	38001	39000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	39001	40000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	40001	41000	28	V_Toluca_USMA_PopGen_JYD	33	0.875
1	41001	42000	37	V_Toluca_USMA_PopGen_JYD	33	1.15625
1	42001	43000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	43001	44000	36	V_Toluca_USMA_PopGen_JYD	33	1.125
1	44001	45000	31	V_Toluca_USMA_PopGen_JYD	33	0.96875
1	45001	46000	32	V_Toluca_USMA_PopGen_JYD	33	1
1	46001	47000	31	V_Toluca_USMA_PopGen_JYD	33	0.96875
1	47001	48000	29	V_Toluca_USMA_PopGen_JYD	33	0.90625
1	48001	49000	31	V_Toluca_USMA_PopGen_JYD	33	0.96875
1	49001	50000	31	V_Toluca_USMA_PopGen_JYD	33	0.96875
1	50001	51000	32	V_Toluca_USMA_PopGen_JYD	33	1
1	51001	52000	30	V_Toluca_USMA_PopGen_JYD	33	0.9375
1	52001	53000	31	V_Toluca_USMA_PopGen_JYD	33	0.96875
1	53001	54000	38	V_Toluca_USMA_PopGen_JYD	33	1.1875
1	54001	55000	32	V_Toluca_USMA_PopGen_JYD	33	1
1	55001	56000	31	V_Toluca_USMA_PopGen_JYD	33	0.96875
1	56001	57000	38	V_Toluca_USMA_PopGen_JYD	33	1.1875
1	57001	58000	38	V_Toluca_USMA_PopGen_JYD	33	1.1875
1	58001	59000	32	V_Toluca_USMA_PopGen_JYD	33	1
1	59001	60000	29	V_Toluca_USMA_PopGen_JYD	33	0.90625
1	60001	61000	31	V_Toluca_USMA_PopGen_JYD	33	0.96875
1	61001	62000	34	V_Toluca_USMA_PopGen_JYD	33	1.0625
1	62001	63000	34	V_Toluca_USMA_PopGen_JYD	33	1.0625
1	63001	64000	31	V_Toluca_USMA_PopGen_JYD	33	0.96875
1	64001	65000	30	V_Toluca_USMA_PopGen_JYD	33	0.9375
1	65001	66000	28	V_Toluca_USMA_PopGen_JYD	33	0.875
1	66001	67000	38	V_Toluca_USMA_PopGen_JYD	33	1.1875
1	67001	68000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	68001	69000	37	V_Toluca_USMA_PopGen_JYD	33	1.15625
1	69001	70000	30	V_Toluca_USMA_PopGen_JYD	33	0.9375
1	70001	71000	37	V_Toluca_USMA_PopGen_JYD	33	1.15625
1	71001	72000	36	V_Toluca_USMA_PopGen_JYD	33	1.125
1	72001	73000	35	V_Toluca_USMA_PopGen_JYD	33	1.09375
1	73001	74000	36	V_Toluca_USMA_PopGen_JYD	33	1.125
1	74001	75000	37	V_Toluca_USMA_PopGen_JYD	33	1.15625
1	75001	76000	35	V_Toluca_USMA_PopGen_JYD	33	1.09375
1	76001	77000	32	V_Toluca_USMA_PopGen_JYD	33	1
1	77001	78000	30	V_Toluca_USMA_PopGen_JYD	33	0.9375
1	78001	79000	31	V_Toluca_USMA_PopGen_JYD	33	0.96875
1	79001	80000	26	V_Toluca_USMA_PopGen_JYD	33	0.8125
1	80001	81000	35	V_Toluca_USMA_PopGen_JYD	33	1.09375
1	81001	82000	36	V_Toluca_USMA_PopGen_JYD	33	1.125
1	82001	83000	29	V_Toluca_USMA_PopGen_JYD	33	0.90625
1	83001	84000	29	V_Toluca_USMA_PopGen_JYD	33	0.90625
1	84001	85000	38	V_Toluca_USMA_PopGen_JYD	33	1.1875
1	85001	86000	27	V_Toluca_USMA_PopGen_JYD	33	0.84375
1	86001	87000	32	V_Toluca_USMA_PopGen_JYD	33	1
1	87001	88000	29	V_Toluca_USMA_PopGen_JYD	33	0.90625
1	88001	89000	30	V_Toluca_USMA_PopGen_JYD	33	0.9375
1	89001	90000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	90001	91000	31	V_Toluca_USMA_PopGen_JYD	33	0.96875
1	91001	92000	29	V_Toluca_USMA_PopGen_JYD	33	0.90625
1	92001	93000	34	V_Toluca_USMA_PopGen_JYD	33	1.0625
1	93001	94000	31	V_Toluca_USMA_PopGen_JYD	33	0.96875
1	94001	95000	30	V_Toluca_USMA_PopGen_JYD	33	0.9375
1	95001	96000	30	V_Toluca_USMA_PopGen_JYD	33	0.9375
1	96001	97000	27	V_Toluca_USMA_PopGen_JYD	33	0.84375
1	97001	98000	36	V_Toluca_USMA_PopGen_JYD	33	1.125
1	98001	99000	32	V_Toluca_USMA_PopGen_JYD	33	1
1	99001	100000	30	V_Toluca_USMA_PopGen_JYD	33	0.9375
1	100001	101000	34	V_Toluca_USMA_PopGen_JYD	33	1.0625
1	101001	102000	34	V_Toluca_USMA_PopGen_JYD	33	1.0625
1	102001	103000	34	V_Toluca_USMA_PopGen_JYD	33	1.0625
1	103001	104000	35	V_Toluca_USMA_PopGen_JYD	33	1.09375
1	104001	105000	32	V_Toluca_USMA_PopGen_JYD	33	1
1	105001	106000	32	V_Toluca_USMA_PopGen_JYD	33	1
1	106001	107000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	107001	108000	26	V_Toluca_USMA_PopGen_JYD	33	0.8125
1	108001	109000	40	V_Toluca_USMA_PopGen_JYD	33	1.25
1	109001	110000	30	V_Toluca_USMA_PopGen_JYD	33	0.9375
1	110001	111000	30	V_Toluca_USMA_PopGen_JYD	33	0.9375
1	111001	112000	28	V_Toluca_USMA_PopGen_JYD	33	0.875
1	112001	113000	38	V_Toluca_USMA_PopGen_JYD	33	1.1875
1	113001	114000	28	V_Toluca_USMA_PopGen_JYD	33	0.875
1	114001	115000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	115001	116000	30	V_Toluca_USMA_PopGen_JYD	33	0.9375
1	116001	117000	31	V_Toluca_USMA_PopGen_JYD	33	0.96875
1	117001	118000	32	V_Toluca_USMA_PopGen_JYD	33	1
1	118001	119000	35	V_Toluca_USMA_PopGen_JYD	33	1.09375
1	119001	120000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	120001	121000	35	V_Toluca_USMA_PopGen_JYD	33	1.09375
1	121001	122000	36	V_Toluca_USMA_PopGen_JYD	33	1.125
1	122001	123000	30	V_Toluca_USMA_PopGen_JYD	33	0.9375
1	123001	124000	38	V_Toluca_USMA_PopGen_JYD	33	1.1875
1	124001	125000	36	V_Toluca_USMA_PopGen_JYD	33	1.125
1	125001	126000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	126001	127000	28	V_Toluca_USMA_PopGen_JYD	33	0.875
1	127001	128000	35	V_Toluca_USMA_PopGen_JYD	33	1.09375
1	128001	129000	31	V_Toluca_USMA_PopGen_JYD	33	0.96875
1	129001	130000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	130001	131000	40	V_Toluca_USMA_PopGen_JYD	33	1.25
1	131001	132000	37	V_Toluca_USMA_PopGen_JYD	33	1.15625
1	132001	133000	34	V_Toluca_USMA_PopGen_JYD	33	1.0625
1	133001	134000	35	V_Toluca_USMA_PopGen_JYD	33	1.09375
1	134001	135000	28	V_Toluca_USMA_PopGen_JYD	33	0.875
1	135001	136000	37	V_Toluca_USMA_PopGen_JYD	33	1.15625
1	136001	137000	38	V_Toluca_USMA_PopGen_JYD	33	1.1875
1	137001	138000	38.5	V_Toluca_USMA_PopGen_JYD	33	1.203125
1	138001	139000	38	V_Toluca_USMA_PopGen_JYD	33	1.1875
1	139001	140000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	140001	141000	36	V_Toluca_USMA_PopGen_JYD	33	1.125
1	141001	142000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	142001	143000	32	V_Toluca_USMA_PopGen_JYD	33	1
1	143001	144000	32	V_Toluca_USMA_PopGen_JYD	33	1
1	144001	145000	37	V_Toluca_USMA_PopGen_JYD	33	1.15625
1	145001	146000	33	V_Toluca_USMA_PopGen_JYD	33	1.03125
1	146001	147000	35	V_Toluca_USMA_PopGen_JYD	33	1.09375
1	147001	148000	37	V_Toluca_USMA_PopGen_JYD	33	1.15625
1	148001	149000	37	V_Toluca_USMA_PopGen_JYD	33	1.15625
1	149001	150000	35	V_Toluca_USMA_PopGen_JYD	33	1.09375
1	150001	151000	29	V_Toluca_USMA_PopGen_JYD	33	0.90625
