Chr	window.start	window.end	coverage.median	Sample	Median.cov.chr	Norm.cov
1	1	1000	97.5	I_Oaxaca_USMA_PopGen_JYD	227	0.427631578947368
1	1001	2000	269	I_Oaxaca_USMA_PopGen_JYD	227	1.17982456140351
1	2001	3000	277	I_Oaxaca_USMA_PopGen_JYD	227	1.21491228070175
1	3001	4000	263	I_Oaxaca_USMA_PopGen_JYD	227	1.15350877192982
1	4001	5000	237	I_Oaxaca_USMA_PopGen_JYD	227	1.03947368421053
1	5001	6000	260	I_Oaxaca_USMA_PopGen_JYD	227	1.14035087719298
1	6001	7000	264	I_Oaxaca_USMA_PopGen_JYD	227	1.15789473684211
1	7001	8000	231.5	I_Oaxaca_USMA_PopGen_JYD	227	1.01535087719298
1	8001	9000	224	I_Oaxaca_USMA_PopGen_JYD	227	0.982456140350877
1	9001	10000	0	I_Oaxaca_USMA_PopGen_JYD	227	0
1	10001	11000	217	I_Oaxaca_USMA_PopGen_JYD	227	0.951754385964912
1	11001	12000	208	I_Oaxaca_USMA_PopGen_JYD	227	0.912280701754386
1	12001	13000	222	I_Oaxaca_USMA_PopGen_JYD	227	0.973684210526316
1	13001	14000	228	I_Oaxaca_USMA_PopGen_JYD	227	1
1	14001	15000	244.5	I_Oaxaca_USMA_PopGen_JYD	227	1.07236842105263
1	15001	16000	245	I_Oaxaca_USMA_PopGen_JYD	227	1.07456140350877
1	16001	17000	266	I_Oaxaca_USMA_PopGen_JYD	227	1.16666666666667
1	17001	18000	249	I_Oaxaca_USMA_PopGen_JYD	227	1.09210526315789
1	18001	19000	247	I_Oaxaca_USMA_PopGen_JYD	227	1.08333333333333
1	19001	20000	241	I_Oaxaca_USMA_PopGen_JYD	227	1.05701754385965
1	20001	21000	246.5	I_Oaxaca_USMA_PopGen_JYD	227	1.08114035087719
1	21001	22000	235	I_Oaxaca_USMA_PopGen_JYD	227	1.03070175438596
1	22001	23000	244	I_Oaxaca_USMA_PopGen_JYD	227	1.07017543859649
1	23001	24000	233	I_Oaxaca_USMA_PopGen_JYD	227	1.0219298245614
1	24001	25000	234	I_Oaxaca_USMA_PopGen_JYD	227	1.02631578947368
1	25001	26000	225	I_Oaxaca_USMA_PopGen_JYD	227	0.986842105263158
1	26001	27000	276.5	I_Oaxaca_USMA_PopGen_JYD	227	1.21271929824561
1	27001	28000	252.5	I_Oaxaca_USMA_PopGen_JYD	227	1.10745614035088
1	28001	29000	246.5	I_Oaxaca_USMA_PopGen_JYD	227	1.08114035087719
1	29001	30000	258	I_Oaxaca_USMA_PopGen_JYD	227	1.13157894736842
1	30001	31000	244	I_Oaxaca_USMA_PopGen_JYD	227	1.07017543859649
1	31001	32000	226	I_Oaxaca_USMA_PopGen_JYD	227	0.991228070175439
1	32001	33000	217	I_Oaxaca_USMA_PopGen_JYD	227	0.951754385964912
1	33001	34000	231	I_Oaxaca_USMA_PopGen_JYD	227	1.01315789473684
1	34001	35000	243	I_Oaxaca_USMA_PopGen_JYD	227	1.06578947368421
1	35001	36000	260	I_Oaxaca_USMA_PopGen_JYD	227	1.14035087719298
1	36001	37000	237	I_Oaxaca_USMA_PopGen_JYD	227	1.03947368421053
1	37001	38000	244	I_Oaxaca_USMA_PopGen_JYD	227	1.07017543859649
1	38001	39000	264	I_Oaxaca_USMA_PopGen_JYD	227	1.15789473684211
1	39001	40000	196	I_Oaxaca_USMA_PopGen_JYD	227	0.859649122807018
1	40001	41000	196	I_Oaxaca_USMA_PopGen_JYD	227	0.859649122807018
1	41001	42000	235	I_Oaxaca_USMA_PopGen_JYD	227	1.03070175438596
1	42001	43000	226	I_Oaxaca_USMA_PopGen_JYD	227	0.991228070175439
1	43001	44000	244	I_Oaxaca_USMA_PopGen_JYD	227	1.07017543859649
1	44001	45000	233	I_Oaxaca_USMA_PopGen_JYD	227	1.0219298245614
1	45001	46000	242	I_Oaxaca_USMA_PopGen_JYD	227	1.06140350877193
1	46001	47000	198.5	I_Oaxaca_USMA_PopGen_JYD	227	0.870614035087719
1	47001	48000	212	I_Oaxaca_USMA_PopGen_JYD	227	0.929824561403509
1	48001	49000	233	I_Oaxaca_USMA_PopGen_JYD	227	1.0219298245614
1	49001	50000	230	I_Oaxaca_USMA_PopGen_JYD	227	1.00877192982456
1	50001	51000	220	I_Oaxaca_USMA_PopGen_JYD	227	0.964912280701754
1	51001	52000	255	I_Oaxaca_USMA_PopGen_JYD	227	1.11842105263158
1	52001	53000	223	I_Oaxaca_USMA_PopGen_JYD	227	0.978070175438597
1	53001	54000	266	I_Oaxaca_USMA_PopGen_JYD	227	1.16666666666667
1	54001	55000	237	I_Oaxaca_USMA_PopGen_JYD	227	1.03947368421053
1	55001	56000	246	I_Oaxaca_USMA_PopGen_JYD	227	1.07894736842105
1	56001	57000	241	I_Oaxaca_USMA_PopGen_JYD	227	1.05701754385965
1	57001	58000	252	I_Oaxaca_USMA_PopGen_JYD	227	1.10526315789474
1	58001	59000	256	I_Oaxaca_USMA_PopGen_JYD	227	1.12280701754386
1	59001	60000	235	I_Oaxaca_USMA_PopGen_JYD	227	1.03070175438596
1	60001	61000	230	I_Oaxaca_USMA_PopGen_JYD	227	1.00877192982456
1	61001	62000	222	I_Oaxaca_USMA_PopGen_JYD	227	0.973684210526316
1	62001	63000	230	I_Oaxaca_USMA_PopGen_JYD	227	1.00877192982456
1	63001	64000	222	I_Oaxaca_USMA_PopGen_JYD	227	0.973684210526316
1	64001	65000	176	I_Oaxaca_USMA_PopGen_JYD	227	0.771929824561403
1	65001	66000	217	I_Oaxaca_USMA_PopGen_JYD	227	0.951754385964912
1	66001	67000	225	I_Oaxaca_USMA_PopGen_JYD	227	0.986842105263158
1	67001	68000	220	I_Oaxaca_USMA_PopGen_JYD	227	0.964912280701754
